7896181902553##DISGREN                                      300MCG CX 20 CAP##37,92 
7893736010909##DORGEN                                       50MG CX 20 COMP##13,81 
7896004727141##DORICIN                                      CX 24BL X 10 COMP##77,14 
7896004727134##DORICIN                                      FR GTS 20ML##8,19 
7897595901149##DORICO                                       750MG CX 200 COMP E.M##299,43 
7896622302485##DORIFLAN                                     1,16G EMUGEL BG 60##12,61 
7896094901254##DORIL                                        500+30MG DISP 25BL X 6 COMP##96,50 
7896094904675##DORIL                                        CX 20 COMP REV##12,61 
7896094906310##DORIL                                        ENXAQUECA 250+250+65MG CX 100 COMP REV##101,32 
7896622303512##DORILAN                                      500MG CX 50BL X 4 COMP##121,78 
7896622301570##DORILAN                                      500MG SOL FR GTS 20ML##13,25 
7896658002236##DORILAX                                      350+150+50MG CX 100 COMP##71,57 
7896658002229##DORILAX                                      350+150+50MG CX 12 COMP##8,86 
7896004741826##DORILEN                                      FR GTS X 20ML##15,95 
7898158691187##DORILESS                                     500+10+5MG CX 12 COMP##7,55 
7898158691194##DORILESS                                     500+10+5MG CX 200 COMP##103,42 
7898158691170##DORILESS                                     500+10+5MG SOL OR FR GTS 1,5ML##15,52 
7896714218861##DORMANT                                      15MG/ML INJ C/ 50 AMP X 3ML##418,41 
7893454209623##DORMELOX                                     15MG CX 10 COMP##18,57 
7893454209616##DORMELOX                                     7,5MG CX 10 COMP##11,61 
7896676402469##DORMIRE                                      15MG CX 20 CAP##36,67 
7896676415322##DORMIRE                                      1MG SOL INJ.CX 50AMP. X 5ML EMB HOSP##273,37 
7896676408201##DORMIRE                                      2MG CX 12FR X 10ML+12DOS##166,68 
7896676415315##DORMIRE                                      5MG SOL INJ CX 50AMP X 10ML EMB HOSP##1.382,29 
7896676410969##DORMIRE                                      5MG SOL INJ CX 50AMP X 3ML EMB HOSP##502,49 
7896006225232##DORMIUM                                      15MG CX 20 COMP##24,30 
7896006244929##DORMIUM                                      15MG CX 30 COMP##35,04 
7896006256236##DORMIUM                                      1MG CX 5AMP X 5ML##26,76 
7896006225164##DORMIUM                                      5MG CX 5AMP X 10ML##126,69 
7896006232575##DORMIUM                                      5MG CX 5AMP X 3ML##55,88 
7896226501178##DORMONID                                     15MG CX 20 COMP##41,47 
7896226502465##DORMONID                                     15MG CX 30 COMP##62,24 
7896226501338##DORMONID                                     15MG CX 5 AMP X 3ML##60,74 
7896226500249##DORMONID                                     50MG CX 5 AMP X 10ML##143,01 
7896226501321##DORMONID                                     5MG CX 5 AMP X 5ML##28,30 
7896226503622##DORMONID                                     7,5MG CX 20 COMP##20,70 
7896226503288##DORMONID                                     7,5MG CX 30 COMP##31,08 
7896006210702##DORNOT                                       50MG INJ 25AMP X 2ML EMB HOSP##49,83 
7896714214764##DORONA CAFI                                  500+65MG CX 100 COMP##83,54 
7896714214702##DORONA CAFI                                  500+65MG CX 16 COMP##13,17 
7896472502271##DORSANOL                                     200MG FR GTS 15ML##5,29 
7896472502585##DORSANOL                                     500MG CX 20BL X 10 COMP##87,14 
7896472502622##DORSANOL                                     500MG CX 2BL X 10 COMP##7,92 
7896472515615##DORSANOL                                     500MG PO SOL CX 50 ENV X 5G SB ABACAXI E.M.##81,13 
7896472515622##DORSANOL                                     500MG PO SOL CX 50 ENV X 5G SB CAMOMILA E.M.##81,13 
7896472515646##DORSANOL                                     500MG PO SOL CX 50 ENV X 5G SB LARANJA E.M.##81,13 
7896472515639##DORSANOL                                     500MG PO SOL CX 50 ENV X 5G SB MACA/CANELA##81,13 
7896472515653##DORSANOL                                     500MG PO SOL CX 50 ENV X 5G SB MEL/LIMAO E.M.##81,13 
7896472502592##DORSANOL                                     750MG CX 20BL X 10 COMP##106,91 
7896472502615##DORSANOL                                     750MG CX 2BL X 10 COMP##9,72 
7896472502288##DORSANOL                                     CRIANCA SUS FR 60ML##11,30 
7896004706238##DORSPAN COMPOSTO                             CX 2BL X 10 COMP REV##12,18 
7896004706221##DORSPAN COMPOSTO                             SOL FR GTS 20ML##11,57 
7896004724775##DORYDRIN                                     24 BL X 10 COMP##73,73 
7798061750127##DOSATAXEL                                    20MG SOL INJ FA 0,5ML+DIL X 1,5ML HOSP##915,63 
7798061750134##DOSATAXEL                                    80MG SOL INJ FA 2ML+DIL X 6ML HOSP##3.647,74 
7896658024078##DOSE D                                       SOL ORAL FR 10ML SB MACA VERDE##19,15 
7896658024085##DOSE D                                       SOL ORAL FR 20ML SB MACA VERDE##26,95 
7896112427360##DOSS                                         1000UI CX 30 CAP##23,84 
7896112427384##DOSS                                         1000UI CX 60 CAP##47,69 
7891268102208##DOSTINEX                                     0,5MG FR 2 COMP##64,59 
7891268102215##DOSTINEX                                     0,5MG FR 8 COMP##223,31 
7894916202916##DOXAL                                        CX 20 DR##21,01 
7896006271543##DOXAPROST                                    2MG CX 30 COMP##56,42 
7896006240723##DOXAPROST                                    4MG CX 30 COMP##81,01 
7897595602473##DOXICICLINA                                  100MG CX 15 COMP##23,82 
7897595602206##DOXICICLINA                                  100MG CX 20 COMP##29,99 
7898216361045##DOXICLIN                                     100MG CX 15 COM REV##17,54 
7898216364442##DOXICLIN                                     100MG CX 600 COM REV EMB HOSP##352,48 
7892953202111##DOXOLEM                                      2MG/ML PO LIOF INJ 1FA+DIL X 5ML EMB HOSP##44,69 
7892953202128##DOXOLEM                                      50MG PO LIOF INJ 1FA EMB HOSP##187,29 
7892953000717##DOXOPEG                                      2MG/ML SUS INJ 1FA X 10ML##2.189,77 
7897595609106##DOXURAN                                      2MG CX 10 COMP##7,28 
7897595609120##DOXURAN                                      2MG CX 30 COMP##16,82 
7897595606198##DOXURAN                                      4MG CX 20 COMP##30,66 
7897595606204##DOXURAN                                      4MG CX 30 COMP##46,03 
7896317910247##DPREV                                        1000UI CX 60 COMP REV##44,01 
7896317910278##DPREV                                        2000UI CX 60 COMP REV##62,88 
7896317910285##DPREV                                        5000UI CX 8 COMP REV##12,57 
7896317910230##DPREV                                        1000UI CX 30 COMP REV##21,79 
7896317910261##DPREV                                        2000UI CX 30 COMP REV##31,12 
7896317910292##DPREV                                        5000UI CX 30 COMP REV##46,68 
7896317910315##DPREV                                        7000UI CX 30 COMP REV##67,43 
7896317910308##DPREV                                        7000UI CX 8 COMP REV##17,81 
7896622302713##DRAMAVIT                                     100MG CX 100BL X 4 COMP##113,49 
7896622301419##DRAMAVIT B6                                  25 MG SOL FR GTS 20ML##8,36 
7896622304847##DRAMAVIT B6                                  25MG SOL FR GTS  20ML##8,36 
7896622301402##DRAMAVIT B6                                  50MG CX 20 COMP##9,40 
7896641807237##DRAMIN                                       100MG COM CT BL AL PLAS INC X 20##5,87 
7896641800559##DRAMIN                                       CX 40 ENV X 10 COMP##117,23 
7896641803178##DRAMIN                                       SOL ORAL FR 120ML##17,28 
7896641800580##DRAMIN B10                                    SOL ORAL PED FR C/ 20 ML##7,28 
7896641805943##DRAMIN B6                                    50+10MG CX 30 COMP REV##11,47 
7896641803109##DRAMIN B6                                    CX 5 ENV X 4 COMP REV##7,69 
7896641805677##DRAMIN B6                                    INJ CX 10 AMP X 1ML##17,32 
7896641805684##DRAMIN B6                                    INJ CX 100 AMP X 1ML##159,52 
7896641806483##DRAMIN B6                                    SOL ORAL FR 30ML PED##10,93 
7896641805691##DRAMIN B6 DL                                 INJ CX 100 AMP X 10ML EMB FRAC##194,19 
7896641807510##DRAMIN CAPSGEL                               25MG CX 10 CAP GEL##16,55 
7896641807527##DRAMIN CAPSGEL                               25MG CX 4 CAP GEL##6,62 
7896641807534##DRAMIN CAPSGEL                               50MG CX 10 CAP##28,79 
7896641806056##DRAMIN CAPSGEL                               50MG CX 100 CAP EMB FRAC##273,47 
7896641807572##DRAMIN CAPSGEL                               50MG CX 4 CAP##11,51 
7898040320867##DRAPOLENE                                    CREME BG 40##13,85 
7896677700236##DRENAREUMA                                   SOL FR 20ML##28,80 
7896004724843##DRENATAN                                     0,05MG/ML SOL OFT FR X 2,5ML##39,92 
7896241256077##DRENIFORMIO                                  CREME DERM BG 30##19,84 
7896241270363##DRENISON                                     0,125MG/G CREME DERM BG 30##19,21 
7896241252970##DRENISON                                     0,125MG/G POM DERM BG 30##19,36 
7896112470458##DRENISON                                     0,5MG/ML LOCAO FR GTS 30ML##22,21 
7896241261248##DRENISON                                     ROLO 200 CM##57,91 
7896241270400##DRENISON                                     N CREME DERM BG 30##19,30 
7896241252420##DRENISON                                     N POM DERM BG 30##19,43 
7897917002660##DRENOGRIP                                    500+30+2MG CX 6 COMP REV##6,49 
7897917002677##DRENOGRIP                                    500+30+2MG CX 120 COMP##66,64 
7891268102307##DRENOL                                       50MG CX 30 COMP##6,61 
7896676407617##DROPERDAL                                    2,5MG CX 50AMP X 1ML EMB HOSP##332,99 
7896714207049##DROPROPIZINA                                 1,5MG XPE FR 120ML+CM PED##6,64 
7898148299119##DROPROPIZINA                                 1,5MG/ML XPE FR 120ML+CM##6,88 
7896714207056##DROPROPIZINA                                 3MG XPE FR 120ML+CM ADU##10,18 
7898148299140##DROPROPIZINA                                 3MG/ML XPE FR 120ML+CM##10,61 
7896422506472##DROPROPIZINA                                 1,5MG XPE FR 120ML+CM##7,03 
7896181924289##DROPROPIZINA                                 1,5MG/ML XPE PED FR X 120ML+ SER DOS##5,99 
7896658021619##DROPROPIZINA                                 1,5MG/ML XPE PED FR X 120ML+SER DOS##5,99 
7896658018374##DROPROPIZINA                                 3,0MG/ML XPE ADU FR X 120ML+SER DOS##7,72 
7896181922377##DROPROPIZINA                                 3,0MG/ML XPE ADU FR X 120ML+SER DOS##7,72 
7896006270508##DROPROPIZINA                                 3MG XPE FR 120ML##9,68 
7896422506489##DROPROPIZINA                                 3MG XPE FR 120ML+CM##10,87 
7896004744971##DROSP.+ETINILESTR                            3MG+0,02MG 1BL CX 24##30,17 
7896004734408##DROSP.+ETINILESTR.                           3+0,03MG CX 21 COMP REV##30,20 
7898505091431##DROSPIRENONA                                 CX 21 DR##27,37 
7894916148108##DROSPIRENONA+ETINILESTRADIOL                 3MG+0,02MG 1BL 24 COMP##30,17 
7896004734392##DROSPIRENONA+ETINILESTRADIOL                 3+0,03MG CX 21 COMP REV##30,20 
7894916147118##DROSPIRENONA+ETINILESTRADIOL                 3+0,03MG CX 21 COMP REV##30,20 
7894916148252##DROSPIRENONA+ETINILESTRADIOL                 3+0,03MG CX 3BL X 21 COMP REV##70,96 
7898505091431##DROSPIRENONA+ETINILESTRADIOL                 1 BLISTER C/ 21 DR##29,40 
7896422524858##DROSPIRENONA+ETINILESTRADIOL                 3+0,03MG CX 21 COMP REV##30,20 
7897595620224##DROSPIRENONA+ETINILESTRADIOL                 3,00+0,03MG CX 21 COMP REV##30,13 
7898945030427##DROSPIRENONA+ETINILESTRADIOL                 3+0,02MG CX 24 BL##27,17 
7895296352017##DROSPIRENONA+ETINILESTRADIOL                 3+0,02MG CX 24 COMP##30,17 
7896004744957##DROSPIRENONA+ETINILESTRADIOL                 3+0,02MG CX 24 COMP REV##30,17 
7898945030014##DROSPIRENONA+ETINILESTRADIOL                 3+0,03MG CX 21 COMP REV##22,97 
7895296100038##DROSPIRENONA+ETINILESTRADIOL                 3+0,03MG CX 21 COMP REV##30,20 
7899095235717##DROTIZIN                                     2MG/ML SOL ORAL FR 120ML##22,07 
7896026170468##DROXAINE                                     60+20+2MG/ML SUS OR FR 120ML##9,39 
7896026120012##DROXAINE                                     60+20+2MG/ML SUS OR FR 240ML##19,90 
7895296277013##DROXY                                        25MG CX 30 COMP##16,72 
7896006230052##DRUSOLOL                                     2+0,5PCC SOL OFT FR 5ML##41,79 
7896004720166##DRYLTAC                                      70MG CX 10 CAP##9,92 
7896004720142##DRYLTAC                                      70MG CX 14 CAP##13,89 
7896004720159##DRYLTAC                                      70MG CX 20 CAP##19,88 
7896112456162##DTN-FOL                                      400MCG+10MG FR 90 CAP##40,59 
7896523210865##DUCODIL                                      5MG CX 20 COMP REV##4,55 
7896707220208##DUCTOGEL                                     300MG CX 24 COMP##6,92 
7898495602723##DUEFIBRA                                     CX 10 SACHES X 5##14,00 
7898495602723##DUEFIBRA                                     CX C/ 10 SACHES C/ 5##15,34 
7898495602716##DUEFIBRA                                     POTE 225##52,79 
7898495602716##DUEFIBRA                                     POTE COM 225##57,82 
7896026300155##DULCOLAX                                     5MG CX 20 DR##4,19 
7896004744421##DULORGRAN                                    30MG CX 15 CAP##21,81 
7896004748306##DULORGRAN                                    30MG CX 30 CAP##43,60 
7896004748313##DULORGRAN                                    30MG CX 7 CAP##10,18 
7896004744438##DULORGRAN                                    60MG CX 30 CAP##82,03 
7898907313780##DUNIA 35                                     2,0+0,035MG CX 21 COMP REV##12,42 
7898907313803##DUNIA 35                                     2,0+0,035MG CX 63 COMP REV##27,38 
7896658010057##DUO-DECADRON                                 8+2MG SUS INJ FA 1ML+SER DOS##6,92 
7896548198353##DUO-TRAVATAN BAK-FREE                        0,04+5,0MG/ML SOL OFT FR GOT 2,5ML##79,54 
7896548198926##DUO-TRAVATAN BAK-FREE                        0,04+5,0MG/ML SOL OFT FR GOT 5ML##159,08 
7896251800437##DUOFILM                                      165+145,20MG SOL TOP FR 15ML##21,39 
7896251800826##DUOFILM PLANTAR                              270MG GEL 20##32,56 
7896676418026##DUOFLAM                                      6,43+2,63MG CX 24AMPX1ML EMB HOSP##304,41 
7896676410198##DUOFLAM                                      6,43+2,63MG CX 1AMPX1ML+SER##11,77 
7891317455576##DUOMO                                        2MG CX 10 COMP##5,89 
7891317455569##DUOMO                                        2MG CX 30 COMP##17,64 
7891317485818##DUOMO HP                                     2+5MG CX 20 CAP##46,47 
