7896023792113##OLEO DE LINHACA                              FR 30 COMP##23,72 
7891268148916##OLMETEC ANLO                                 20+5MG CX 15 COMP##37,06 
7891268148923##OLMETEC ANLO                                 20+5MG CX 30 COMP##74,12 
7891268149005##OLMETEC ANLO                                 40+10MG CX 15 COMP##41,89 
7891268149012##OLMETEC ANLO                                 40+10MG CX 30 COMP##83,78 
7891268148961##OLMETEC ANLO                                 40+5MG CX 30 COMP##83,78 
7891268148978##OLMETEC ANLO                                 40MG+5MG CX 15 COMP##41,89 
7891268149029##OLMETEC HCT                                  20+12,5MG CX 10 COMP REV##24,44 
7891268148800##OLMETEC HCT                                  20+12,5MG CX 30 COMP##75,06 
7891268148831##OLMETEC HCT                                  40+12,5MG CX 30 COMP##85,50 
7891268148862##OLMETEC HCT                                  40+25MG CX 30 COMP REV##85,50 
8433042008307##OMACOR                                       1000+460+380MG FR 28 CAP##89,99 
7896016801587##OMCILON-A                                    ORABASE 1MG BG 10##11,52 
7896016800962##OMCILON-A M                                  CREME TB 30##31,59 
7896016800979##OMCILON-A M                                  POM TB 30##28,94 
7896023794018##OMEGA 3                                      1000MG FR 120 COMP##42,81 
7896023799983##OMEGA 3                                      1000MG FR 60 COMP##22,19 
7899620910850##OMEGA 3                                      FR 60 CAP##59,90 
7898495604659##OMEGA 3                                      1000MG 100 CAP##103,46 
7898495603973##OMEGA 3                                      1000MG CX 30 CAP##36,28 
7898205133585##OMEGA 3                                      100% 1000MG FR 60 CAP##35,00 
7896023792267##OMEGA 3                                      500MG FR 80 COMP##28,21 
7898414852130##OMEGA 3                                      FR 100 CAP##46,60 
7898414852437##OMEGA 3                                      FR 50 CAP##28,85 
7898414852123##OMEGA 3-6-9                                  FR 60 CAP##35,30 
7898495601894##OMEGA AZ                                     COMPLEXO FR 100 CAP##123,50 
7898495601870##OMEGA AZ                                     COMPLEXO FR 30 CAP##45,38 
7898495601887##OMEGA AZ                                     COMPLEXO FR 60 CAP##85,84 
7896083402755##OMEGA MATER                                  1000MG CX 60 CAP##39,58 
7896083410699##OMEGA MATER                                  600MG CX 30 CAP##42,44 
7899095200845##OMENAX                                       20MG CX 14 CAP##11,91 
7899095200869##OMENAX                                       20MG CX 28 CAP##17,77 
7899095240162##OMENAX                                       20MG CX 56 CAP##30,70 
7899095205406##OMENAX                                       40MG CX 7 CAP##25,78 
7899095205420##OMENAX                                       40MG CX28##66,79 
7898331960611##OMEPAMP                                      10MG FR 14 CAP##10,77 
7898331960635##OMEPAMP                                      20MG FR 14 CAP##15,09 
7898331960642##OMEPAMP                                      20MG FR 28 CAP##29,64 
7898331960628##OMEPAMP                                      20MG FR 7 CAP##10,77 
7898331960659##OMEPAMP                                      40MG FR 7 CAP##18,42 
7896523206196##OMEPRAMED                                    10MG CX 14 CAP##17,34 
7896523206325##OMEPRAMED                                    20MG CX 14 CAP##13,40 
7896523206905##OMEPRAMED                                    20MG CX 28 CAP##21,45 
7896523206226##OMEPRAMED                                    20MG CX 7 CAP##17,34 
7896658004346##OMEPRAMIX                                    20+500+500MG CX 21 COMP##93,87 
7896658004360##OMEPRAMIX                                    20+500+500MG CX 35 COMP##96,64 
7896658004308##OMEPRAMIX                                    20+500+500MG CX 7 COMP##91,39 
7896004714271##OMEPRAZIN                                    20MG CX 14 CAP##30,13 
7895296255035##OMEPRAZIN                                    20MG CX 14 CAP##13,50 
7896004722603##OMEPRAZIN                                    20MG CX 28 CAP##42,69 
7895296255042##OMEPRAZIN                                    20MG CX 28 CAP##21,25 
7896004710396##OMEPRAZIN                                    40MG CX 7 CAP##28,97 
7895296255011##OMEPRAZIN                                    40MG CX 7 CAP##15,75 
7898060134154##OMEPRAZOL                                    20MG FR 56 CAP GEL##28,99 
7896181905776##OMEPRAZOL                                    10MG CX 14 CAP##16,46 
7896004707396##OMEPRAZOL                                    10MG CX 14 CAP##13,43 
7896004701998##OMEPRAZOL                                    10MG CX 2BL X 7 CAP##18,12 
7896004718538##OMEPRAZOL                                    10MG CX 60 COMP##69,88 
7896094201330##OMEPRAZOL                                    10MG FR 14 CAP##18,37 
7898060134239##OMEPRAZOL                                    20 MG CX 28 CAP##16,57 
7896094201316##OMEPRAZOL                                    20MG 7 CAP##18,37 
7896181905837##OMEPRAZOL                                    20MG CX 14 CAP##29,65 
7896004703282##OMEPRAZOL                                    20MG CX 14 CAP##29,30 
7896004709451##OMEPRAZOL                                    20MG CX 14 CAP##26,86 
7896004701967##OMEPRAZOL                                    20MG CX 28 CAP##57,42 
7896004707419##OMEPRAZOL                                    20MG CX 28 CAP##54,55 
7898060134147##OMEPRAZOL                                    20MG CX 28 CAP##16,57 
7896676408072##OMEPRAZOL                                    20MG CX 28 COMP##54,53 
7898060134246##OMEPRAZOL                                    20MG CX 56 CAP##28,99 
7898148290116##OMEPRAZOL                                    20MG CX 560 CAP EMB HOSP##446,76 
7899547520781##OMEPRAZOL                                    20MG CX 60 CAP##30,78 
7896004718545##OMEPRAZOL                                    20MG CX 60 CAP##110,74 
7896181905790##OMEPRAZOL                                    20MG CX 7 CAP##15,98 
7896004701974##OMEPRAZOL                                    20MG CX 7 CAP##17,51 
7896004707402##OMEPRAZOL                                    20MG CX 7 CAP##13,43 
7896676407914##OMEPRAZOL                                    20MG CX 7 COMP##13,43 
7899547520798##OMEPRAZOL                                    20MG CX 90 CAP##45,97 
7896094206243##OMEPRAZOL                                    20MG FR 14 CAP##18,91 
7896094201323##OMEPRAZOL                                    20MG FR 28 CAP##57,46 
7898148290147##OMEPRAZOL                                    40MG CX 10 CAP##31,94 
7896004718552##OMEPRAZOL                                    40MG CX 60 CAP##225,68 
7896181905950##OMEPRAZOL                                    40MG CX 7 CAP##29,65 
7896004706856##OMEPRAZOL                                    40MG CX 7 CAP##29,24 
7896004707389##OMEPRAZOL                                    40MG CX 7 CAP##26,86 
7896094201347##OMEPRAZOL                                    40MG FR 7 CAP##32,77 
7896676414875##OMEPRAZOL                                    40MG PO LIOF INJ CX 1FA EMB HOSP##27,48 
7896676411379##OMEPRAZOL                                    40MG PO LIOF INJ CX 25FA+DIL X 10ML EMB HOSP##687,39 
7896112149064##OMEPRAZOL                                    10MG CX 14 CAP##10,64 
7895296211314##OMEPRAZOL                                    10MG CX 14 CAP##9,85 
7896714229928##OMEPRAZOL                                    10MG CX 14 CAP RETARD##11,13 
7896112149095##OMEPRAZOL                                    20MG CX 14 CAP##12,90 
7895296211383##OMEPRAZOL                                    20MG CX 14 CAP##29,29 
7896714230283##OMEPRAZOL                                    20MG CX 14 CAP RETARD##13,45 
7898148290123##OMEPRAZOL                                    20MG CX 200 CAP EMB HOSP##147,70 
7896112148715##OMEPRAZOL                                    20MG CX 28 CAP##19,92 
7895296211390##OMEPRAZOL                                    20MG CX 28 CAP##54,52 
7896714230290##OMEPRAZOL                                    20MG CX 28 COMP RETARD##19,91 
7898148290093##OMEPRAZOL                                    20MG CX 30 CAP##18,62 
7896422517843##OMEPRAZOL                                    20MG CX 42 CAPS##56,78 
7896714262307##OMEPRAZOL                                    20MG CX 4BL X 14 CAP##34,69 
7896112181729##OMEPRAZOL                                    20MG CX 56 COMP##37,84 
7896112148722##OMEPRAZOL                                    20MG CX 7 CAP##10,64 
7895296211352##OMEPRAZOL                                    40MG CX 28 CAP##67,72 
7895296211345##OMEPRAZOL                                    40MG CX 7 CAP##17,78 
7896422506533##OMEPRAZOL                                    10MG CX 14 CAP##18,19 
7896422504362##OMEPRAZOL                                    20MG CX 14 CAP##29,46 
7896422504379##OMEPRAZOL                                    20MG CX 28 CAP##57,51 
7896422504355##OMEPRAZOL                                    20MG CX 7 CAP##17,65 
7891317420024##OMEPRAZOL                                    40MG CX 50 FA+50DIL VD X 10ML##1.402,24 
7896422504614##OMEPRAZOL                                    40MG CX 7 CAP##29,36 
7897595601414##OMEPROTEC                                    10MG CX 14 CAP##18,91 
7897595601421##OMEPROTEC                                    20MG CX 14 CAP##31,44 
7897595603692##OMEPROTEC                                    20MG CX 28 CAP##46,60 
7897595601438##OMEPROTEC                                    20MG CX 7 CAP##19,51 
7897595603029##OMEPROTEC                                    40MG CX 7 CAP##31,53 
7896641806568##OMNARIS                                       50 MCG/DOSE SUS NAS FR SPR 120##33,31 
7899337000370##OMNIC OCAS                                   0,4MG CX 10 COMP REV##54,57 
7899337000400##OMNIC OCAS                                   0,4MG CX 30 COMP REV##61,21 
7897337000424##OMNIC OCAS                                   0,4MG CX 60 COMP##97,93 
7897322703305##OMNIPAQUE                                    300MG INJ FA X 20ML HOSP##69,84 
7897322703312##OMNIPAQUE                                    300MG INJ FA X 50ML HOSP##119,01 
7897322703343##OMNIPAQUE                                    350MG INJ FA X 100ML HOSP##247,29 
7897322703336##OMNIPAQUE                                    350MG INJ FA X 50ML HOSP##137,00 
7897322703350##OMNISCAN                                     287MG INJ FA X 10ML HOSP##164,12 
7897322703367##OMNISCAN                                     287MG INJ FA X 15ML HOSP##234,47 
7897322703374##OMNISCAN                                     287MG INJ FR X 20ML HOSP##296,20 
7897595616937##OMNITROPE                                    10MG SOL INJ X 1,5ML##841,09 
7897595616913##OMNITROPE                                    5MG SOL INJ X 1,5ML##420,53 
7897917000857##OMOPREL                                      20MG CX 14 CAP##25,43 
7897917003254##OMOPREL                                      20MG CX 28 CAP##45,81 
7897917003261##OMOPREL                                      20MG CX 56 CAP##91,67 
7897917001755##OMOPREL                                      40MG CX 14 CAP##28,69 
7897917003278##OMOPREL                                      40MG CX 28 CAP##51,64 
7897917003285##OMOPREL                                      40MG CX 56 CAP##103,22 
7897917001748##OMOPREL                                      40MG CX 7 CAP##16,97 
7897917000819##OMPREL                                       10MG FR 14 CAP##21,08 
7897917000857##OMPREL                                       20MG FR 14 CAP##25,44 
7897917000802##OMPREL                                       20MG FR X 7 CAP##19,73 
7896261016392##ONBRIZE                                      150MCG PO CX 10 CAP+1 INAL##28,08 
7896261016385##ONBRIZE                                      150MCG PO CX 30 CAP+1 INAL##84,29 
7896261016439##ONBRIZE                                      300MCG PO CX 10 CAP+INAL##28,08 
7896261016422##ONBRIZE                                      300MCG PO CX 30 CAP+INAL##84,29 
7897917003292##ONCIBEL                                      1+2,5+0,25MG/G+100.000UN/G CREM DERM 1BG 30##22,34 
7897917002271##ONCIBEL                                      1+2,5+0,25MG/G+100.000UN/G POM DERM 1BG 30##22,34 
7899095203686##ONCICREM-A ORABASE                           ORABASE 1MG BG 10##10,84 
7896004709178##ONCILEG                                      1/2,5/0,25MG+100MUI CREME BG 30##18,00 
7896004709161##ONCILEG                                      1/2,5/0,25MG+100MUI POM BG 30##16,94 
7896004722689##ONCILEG A                                    1MG/G POM BG 10##7,26 
7895197130172##ONCOBINE                                     10MG/ML SOL INJ FA X 1ML##191,19 
7895197130189##ONCOBINE                                     10MG/ML SOL INJ FA X 5ML##928,84 
7892953000908##ONCODOCEL                                    20MG SOL INJ 1FA X 0,5ML+DIL X 1,5ML##1.001,41 
7892953000915##ONCODOCEL                                    80MG SOL INJ 1FA X 2,0ML+DIL X 6ML##3.611,90 
7895197130073##ONCODOX                                      10MG PO LIOF INJ CX 1FA##67,95 
7895197130066##ONCODOX                                      50MG PO LIOF INJ CX 1FA##286,21 
7892953204511##ONCOTECAN                                    4MG SOL PO INJ FA X 10ML HOSP##874,07 
7898208147213##ONDRALIX                                     2MG SOL INJ CX 50 AMP X 2ML HOSP##1.310,69 
7896016807237##ONGLYZA                                      2.5MG CX 2BL X 14 COMP##74,30 
7896016807244##ONGLYZA                                      5,0MG CX 1BL X 14 COMP##37,15 
7896016807251##ONGLYZA                                      5,0MG CX 2BL X 14 COMP##74,30 
7896016807237##ONGLYZA                                      2,5MG CX 28 COMP##70,76 
7896016807244##ONGLYZA                                      5,0MG CX 14 COMP##35,38 
7896016807251##ONGLYZA                                      5,0MG CX 28 COMP##70,76 
7898926572908##ONICIT                                       0,05MG SOL INJ 1FA X 5ML##233,72 
7897572003569##ONICIT PONV                                  0,05MG/ML SOL INJ X 1FA X 1,5ML##69,95 
7896004748221##ONICORYL                                     ESM 2,5ML+10 ESP+30SCH+30LIXAS##61,72 
7896112467205##ONICUT                                       5,0ML##34,08 
7895296278010##ONIMORF                                      ESMALTE 2,5ML+10ESP+30LIXAS+30COMPRESSA##67,42 
7896094201798##ONTAX                                        100MG/ML SOL INJ 1FA X 16,7ML##1.990,59 
7896094202801##ONTAX                                        150MG/ML SOL INJ 1FA X 25ML##2.912,51 
7896094201781##ONTAX                                        30MG/ML SOL INJ 1FA X 5ML##632,39 
7896014679225##ONTRAX                                       2MG/ML SOL INJ CX 100 AMP X 2ML##3.731,11 
7896014679249##ONTRAX                                       2MG/ML SOL INJ CX 100 AMP X 4ML##6.729,57 
7896014679218##ONTRAX                                       2MG/ML SOL INJ CX 20AMP X 2ML##783,53 
7896014679232##ONTRAX                                       2MG/ML SOL INJ CX 20AMP X 4ML##1.413,21 
7896290401176##ONXEL                                        6MG SOL INJ FA X 17ML##1.732,27 
7896290401503##ONXEL                                        100MG SOL INJ CX 1FA##1.778,99 
7896290401169##ONXEL                                        30MG SOL INJ CX 1FA##614,76 
7898144460442##OPHTAAC                                      40MG/ML SUSP FR 1ML##43,37 
7898154460015##OPHTCOL                                      0,1MG/ML SOL OFT FR 2ML##11,43 
7896422526265##OPINOX                                       10MG CX 10 COMP REV##115,22 
7896422526289##OPINOX                                       10MG CX 15 COMP REV##172,80 
7896422526302##OPINOX                                       10MG CX 30 COMP REV##345,66 
7896422526142##OPINOX                                       2,5MG CX 10 COMP REV##38,99 
7896422526166##OPINOX                                       2,5MG CX 15 COMP REV##60,61 
7896422526180##OPINOX                                       2,5MG CX 30 COMP REV##117,00 
7896422526203##OPINOX                                       5MG CX 10 COMP REV##57,60 
7896422526227##OPINOX                                       5MG CX 15 COMP REV##86,39 
7896422526241##OPINOX                                       5MG CX 30 COMP REV##172,80 
7896014688272##OPRAZON                                      40MG PO INJ CX 20FA+20 AMP DIL X 10ML##507,87 
7898060133584##OPTAFLAN                                     50MG FR GTS 15ML##16,01 
7898060133546##OPTAFLAN                                     CX 12 COMP X 100M##18,66 
7898060131658##OPTAMAX                                      50MG CX 20 COMP##5,60 
7896548169995##OPTI-FREE EXPRESS                            FR 355ML+FR 90ML AMOSTRA+TELA PROT OFX+ESTOJO##41,73 
7896548198643##OPTI-FREE EXPRESS                            IMP FR 355ML+90ML AMOSTRA+TELA PROT+ESTOJO##41,73 
7896548198650##OPTI-FREE EXPRESS                            IMPORTADO FR 120ML##25,51 
7896548198667##OPTI-FREE EXPRESS                            IMPORTADO FR 355ML##41,73 
7896548198186##OPTI-FREE GP                                 FR 120ML##42,82 
7896548198858##OPTI-FREE GP PAK                             FR 120ML+CLENS100 FR 15ML+TELA PROT+ESTOJ##46,59 
7896548198803##OPTI-FREE PURE MOIST                         MOIST 420ML+300+120ML AMOSTRA+CLENS100 15ML##43,24 
7896548198810##OPTI-FREE PURE MOIST                         PAK 420ML+300+120ML AMOSTRA+CLENS 15ML+ESTOJO##42,43 
7896548198605##OPTI-FREE PURE MOIST                         FR 120ML##30,85 
7896548198612##OPTI-FREE PURE MOIST                         FR 300ML##45,11 
7896548198797##OPTI-FREE PURE MOIST                         KIT FR 300ML+120ML AMOSTRA+ESTOJO##45,11 
7896548198704##OPTI-FREE REPLENISH                          FR 120ML##27,36 
7896548198711##OPTI-FREE REPLENISH                          FR 300ML##40,00 
7896548198674##OPTI-FREE REPLENISH                          IMPORTADO KIT 300ML+120ML AMOSTRA+ESTOJO##40,01 
7896548197417##OPTI-FREE REPLENISH                          KIT FR 300ML+120ML AMOSTRA+ESTOJO##40,01 
7896548120590##OPTI-FREE SUPRACLENS                         FR 3ML##33,94 
7896548199268##OPTI-FREE SUPRACLENS                         IMPORTADO FR 3ML##33,94 
0000000000000##OPTIUM                                       TIRAS - TESTE POC CX 100##2.000,00 
0093815801146##OPTIUM FREESTYLE                             H100 TIRAS - TESTE POC CX 100##2.400,00 
0093815801276##OPTIUM FREESTYLE                             H50 TIRAS - TESTE POC CX 50##1.200,00 
0093815995111##OPTIUM FREESTYLE                             HCETONAS TIRAS - TESTE CX 10##75,00 
7897316805114##OPTIVE                                       0,5+0,9% FR 10ML##31,88 
7897316805121##OPTIVE                                       0,5+0,9% FR 15ML##47,59 
7897316806050##OPTIVE                                       0,5+0,9% KIT 15ML+3ML##47,59 
7897316805497##OPTIVE UD                                    0,5%+0,9% CX 30 FLAC##46,13 
7896241278505##ORALPRED                                     3MG SOL ORAL FR 60ML##14,78 
7898100924198##ORALSEPT                                     1MG/G BG X 10##9,17 
7898109241980##ORALSEPT                                     ORABASE 1MG/G BG X 10##9,63 
7896212469086##ORAP                                         1MG CX 20 COMP##8,08 
7896212469093##ORAP                                         4MG CX 20 COMP##13,93 
7896016806469##ORENCIA L                                    250MG SOL INJ##1.481,60 
7896016808197##ORENCIA SC                                   125MG X 4 SER PREE+DISP+EXT##4.704,92 
7897572001336##ORGALUTRAN                                   0,25MG CX 1 SER X 0,5ML##215,78 
7890282800626##ORGANO NEUROCEREBRAL                         FR 25 DR##36,66 
7890282800633##ORGANONEURO OPTICO                           FR 20 DR##42,93 
7894916508285##ORLIPID                                      120MG 2BL X 21 CAP##102,25 
7894916508292##ORLIPID                                      120MG 4BL X 21 CAP##163,60 
7896004745626##ORLISTATE                                    120MG 2BL X 21 CAP##95,22 
7896004737287##ORLISTATE                                    120MG 4BL X 21 CAP##190,43 
7896714237497##ORLISTATE                                    120MG CX 42 CAP##97,68 
7896714237510##ORLISTATE                                    120MG CX 84 CAP##195,35 
7897851221493##ORNITARGIN                                   CX. C/20 COMPRIMIDOS##7,22 
7897851250233##ORNITARGIN                                   CX 12 FLAC##16,71 
7897851250219##ORNITARGIN                                   CX 3 AMP 10 ML##7,18 
7897851250226##ORNITARGIN                                   CX 50 AMP 10ML##111,61 
7897595901392##OROXADIN                                     100MG CX 30 COMP##76,00 
7895296095068##ORTOSAMIN                                    1,5G PO ORAL CX 30 SACH X 5##86,43 
7891058034092##OS-CAL                                       500MG CX 60 COMP REV##47,10 
7891058011550##OS-CAL D                                     500MG+400UI FR X 60 COMP REV##50,68 
7895296280020##OSKIN                                        40+0,5MG/G CREME DERM BG 15##45,94 
7895296280037##OSKIN                                        40+0,5MG/G CREME DERM BG 30##96,20 
7898040323110##OSMOGEL                                      50##27,42 
7898549754248##OSMOLAC                                      CX 10 SACH X 10##33,39 
7898549753814##OSMOLAC                                      CX 10 SACH X 5##27,35 
7891158099892##OSMOLITE HICAL RTH                           SF-1000ML##709,34 
7891158023729##OSMOLITE HN                                  LATA 237ML##41,77 
7891158026072##OSMOLITE HN RTH                              SF-1000ML##491,16 
7891158026157##OSMOLITE PLUS HN                             RTH SF-1000ML##687,23 
7891158023729##OSMOLITE PLUS HN                             LATA 237ML##52,12 
7898495605502##OSS-FOR 30                                   30 COMPRIMIDOS FRASCO PLASTICO##49,33 
7898495605519##OSS-FOR 60                                   60 COMPRIMIDOS FRASCO PLASTICO##73,48 
7898942324413##OSSEOPROT                                    CX 60 COMP##64,14 
7898537890064##OSSODRIN D                                   FR PLAS C/60##46,33 
7898060138664##OSSOMAX                                      70MG CX 4 COMP##30,05 
7896290401961##OSSOPAN                                      200MG FR X 30 DR##11,66 
7896290401978##OSSOPAN                                      800MG FR 30 COMP REV##35,78 
7893454141831##OSSOTRAT PLUS                                FR 60 COMP REV##44,93 
7893454212012##OSSOTRAT-D                                   600MG+200UI FR 60 COMP REV##41,23 
7898574610267##OSTELOX                                      70MG CART 1BL X 4 COMP##29,46 
7896226102641##OSTENAN                                      70MG CX 4 COMP##75,75 
7896658019036##OSTEOBAN                                     150MG CX 1 COMP REV##74,87 
7895296124058##OSTEOBLOCK                                   35 MG CX 12 COMP REV##90,98 
7895296124034##OSTEOBLOCK                                   35 MG CX 4 COMP REV##41,23 
7896004736921##OSTEOBLOCK                                   35MG CX 4 COMP REV##41,23 
7898109241522##OSTEOFAR                                     70MG CX 4 COMP##30,29 
7894916501712##OSTEOFORM                                    70MG CX 2 COMP##15,85 
7894916501729##OSTEOFORM                                    70MG CX 4 COMP REV##31,72 
7894916504935##OSTEOFORM                                    70MG CX 70 COMP##545,80 
7894916503983##OSTEOFORM                                    70MG CX 8 COMP##62,35 
7896004744155##OSTEOGLIC                                    1,5MG SOL PO OR CX 30 SACHET##96,41 
7896422513272##OSTEONUTRI                                   600MG+400UI FR 60 COMP REV##56,42 
7896672201974##OSTEOPLUS                                    300MG CX 30 CAP##77,60 
7894164003884##OSTEOPREVIX D                                1389MG+200UI FR 75 COMP REV##61,17 
7892953000182##OSTEOTEC                                     150MG CX 1 COMP REV##80,89 
7892953000199##OSTEOTEC                                     150MG CX 2 COMP REV##154,42 
7896658017230##OSTEOTRAT                                    35MG CX 2 COMP REV##18,74 
7896658017247##OSTEOTRAT                                    35MG CX 4 COMP REV##37,45 
7896112163015##OSTRAT                                       70MG CX 4 COMP##14,67 
7895858001452##OSTRIOL                                      0,25MCG CX 30 CAP##58,21 
7896026120500##OTICERIM                                     100MG SOL OTO FR 8ML##7,29 
7898040321390##OTO BETNOVATE                                1+10+5MG/ML SOL OTO FR GTS 10ML##15,97 
7896637022439##OTO-XILODASE                                 SOL OTO FR 8ML+AMP##12,42 
7898040324223##OTOCIRIAX                                    2,0MG+10MG/ML CX 5ML##22,19 
7898074614109##OTOFOXIN                                     5,8MG SOL OTO FR GTS 10ML##22,78 
7896523202709##OTOLOIDE                                     50+4,0MG/ML FR GTS 10ML##9,74 
7896004707600##OTOMIXYN                                     FR GOT X 15ML##5,50 
7898040320942##OTOSPORIN                                    SOL OTO FR GTS 10ML##7,72 
7899095204720##OTOSYLASE                                    0,25+3,50+20MG+10MUI SOL FR 10ML##8,32 
7896226503363##OTOSYNALAR                                   0,275+3,85+20MG+11MUI SOL FR GTS 5ML##5,20 
7896261010055##OTRIVINA                                     0,1% UMECTANTE FR 15ML##5,16 
7896261000704##OTRIVINA                                     1MG GEL NAS BG 10##6,71 
7896714270661##OUVIDONAL                                    25+30MG/ML SOL OTO FR GTS 20X10ML##6,25 
7897572000292##OVESTRION                                    1MG CREME BG 50G+APLIC##29,37 
7897572000803##OVESTRION                                    1MG CX 30 COMP##13,81 
7897572000810##OVESTRION                                    2MG CX 30 COMP##25,92 
7897572003606##OVESTRION CREME                              1MG X BNG 15G + 1 APLIC.##10,34 
7891721027963##OVIDREL                                      250MCG SOL INJ X 0,5ML+CAN APLIC##270,78 
7898106035421##OVIDREL                                      250MG INJ 1SER PREENCH X 0,5ML##270,78 
7898208141150##OXACILIL                                     500MG PO SOL INJ CX 50FA X 10ML HOSP##138,24 
7891317426453##OXACILINA SODICA                             500MG INJ CX 50FA+DIL X 5ML##121,96 
7898361881634##OXACILINA SODICA                             500MG SOL INJ 50FA+50AMP+DIL X 5ML##244,98 
7898361880750##OXACILINA SODICA                             500MG SOL INJ CX 50FA EMB HOSP##244,98 
7896004731605##OXALATO DE ESCITALOPRAM                      10MG 2BL X 15 COMP REV##58,45 
7896004731612##OXALATO DE ESCITALOPRAM                      10MG 4BL X 15 COMP REV##107,60 
7898909980942##OXALATO DE ESCITALOPRAM                      10MG CX 14 COMP REV##45,80 
7898909980966##OXALATO DE ESCITALOPRAM                      10MG CX 28 COMP REV##91,67 
7896004731629##OXALATO DE ESCITALOPRAM                      20MG 2BL X 15 COMP REV##177,06 
7898909980874##OXALATO DE ESCITALOPRAM                      20MG CX 14 COMP REV##87,07 
7898909980898##OXALATO DE ESCITALOPRAM                      20MG CX 28 COMP REV##174,11 
7897076913234##OXALATO DE ESCITALOPRAM                      10MG CX 14 COMP##24,47 
7897076913289##OXALATO DE ESCITALOPRAM                      10MG CX 28 COMP##48,95 
8902220109339##OXALATO DE ESCITALOPRAM                      10MG CX 30 COMP REV##46,92 
7899095238671##OXALATO DE ESCITALOPRAM                      10MG CX 30 COMP REV##58,18 
7896422525398##OXALATO DE ESCITALOPRAM                      10MG CX 30 COMP REV##53,20 
7896004747002##OXALATO DE ESCITALOPRAM                      15MG CX 2BL X 15 COMP REV##89,96 
7896422525466##OXALATO DE ESCITALOPRAM                      20MG CX 30 COMP REV##105,34 
7896658010118##OXALATO DE ESCITALOPRAM                      10MG CX 30 COMP##58,19 
7896181900351##OXALATO DE ESCITALOPRAM                      10MG CX 30 COMP##58,19 
7891317476465##OXALATO DE ESCITALOPRAM                      10MG CX 30 COMP REV##58,19 
7896181900320##OXALATO DE ESCITALOPRAM                      10MG CX15##27,49 
7896658010088##OXALATO DE ESCITALOPRAM                      10MG X 15 COMP##27,49 
7896658020674##OXALATO DE ESCITALOPRAM                      15MG CX 7 COMP REV##27,41 
7896181923749##OXALATO DE ESCITALOPRAM                      15MG CX 7 COMP REV##27,41 
7891317476526##OXALATO DE ESCITALOPRAM                      20MG CX 30 COMP REV##177,06 
7896658017988##OXALATO DE ESCITALOPRAM                      20MG CX 30 COMP REV##188,97 
7896181922001##OXALATO DE ESCITALOPRAM                      20MG CX 30 COMP REV##188,97 
7896658018633##OXALATO DE ESCITALOPRAM                      20MG/ML SOL OR FR GTS 15ML##54,96 
7896181922599##OXALATO DE ESCITALOPRAM                      20MG/ML SOL OR FR GTS 15ML##54,96 
7896004731568##OXALATO ESCITALOPRAM                         10MG 2BL X 15 COMP REV##58,45 
7896004731575##OXALATO ESCITALOPRAM                         10MG 4BL X 15 COMP REV##107,60 
7894916146487##OXALATO ESCITALOPRAM                         10MG CX 30 COMP REV##58,45 
7896004731582##OXALATO ESCITALOPRAM                         20MG 2BL X 15 COMP REV##177,06 
7894916148306##OXALATO ESCITALOPRAM                         15MG 2BL X 15 COMP REV##89,96 
