7897595901927##A A S                                        100MG CX 120 COMP##38,21 
7896523209098##ACEBROFILINA                                 10MG XPE CX 50X 20ML+50CP EMB HOSP##296,34 
7896422509244##ACEBROFILINA                                 10MG XPE FR 120ML+DOS##17,05 
7896006205593##ACEBROFILINA                                 10MG/ML XPE FR 120ML+COP##15,96 
7896181924098##ACEBROFILINA                                 25MG/5ML XPE FR PETX120ML##11,73 
7896181924081##ACEBROFILINA                                 50MG XPE FR 120ML PET##16,59 
7896422509251##ACEBROFILINA                                 5MG XPE FR 120ML+DOS##12,09 
7896523209104##ACEBROFILINA                                 5MG/ML XPE CX 50 FR X 120ML+50CP MED EMB HOSP##286,47 
7896006259152##ACEBROFILINA                                 5MG/ML XPE FR 120ML+SER DOS##15,87 
7899095233027##ACEBROFILINA                                 10MG XPE FR 120ML ADU##19,01 
7898148292882##ACEBROFILINA                                 10MG/ML XPE 50FR X 120ML+50CM HOSP##463,51 
7891317002695##ACEBROFILINA                                 10MG/ML XPE FR 120ML +CM##17,09 
7896523209111##ACEBROFILINA                                 10MG/ML XPE FR 120ML+CM##10,40 
7896112159070##ACEBROFILINA                                 10MG/ML XPE FR 120ML+CM##16,92 
7895296271042##ACEBROFILINA                                 25MG/5ML XPE FR 120ML+CM##11,57 
7895296271035##ACEBROFILINA                                 50MG+5ML XPE FR 120ML+CM##16,28 
7899095233034##ACEBROFILINA                                 5MG XPE FR 120ML PED##12,84 
7898148292776##ACEBROFILINA                                 5MG/ML XPE 50FR X 120ML+50CM HOSP##308,99 
7891317002688##ACEBROFILINA                                 5MG/ML XPE FR 120ML +CM##12,11 
7896523209128##ACEBROFILINA                                 5MG/ML XPE FR 120ML+CM##9,77 
7896112159049##ACEBROFILINA                                 5MG/ML XPE FR 120ML+CM##12,11 
7896004722726##ACECLO-GRAN                                  100MG CX 12 COMP REV##17,87 
7896004722122##ACECLOFENACO                                 100MG CX 2BL X 6 COMP REV##18,63 
7896004722146##ACECLOFENACO                                 100MG CX 2BL X 6 COMP REV##18,93 
7894916144803##ACECLOFENACO                                 100MG CX 2BL X 6 COMP REV##17,87 
7896004722153##ACECLOFENACO                                 100MG CX 4BL X 6 COMP REV##34,85 
7896004716534##ACECLOFENACO                                 15MG CREME DERM BG 30##13,74 
7896004716541##ACECLOFENACO                                 CREME BG 30##13,74 
7896472505883##ACECLOFENACO                                 100MG CX 12 COMP##18,94 
7898049795277##ACECLOFENACO                                 100MG CX 16 COMP REV##26,73 
7898049795284##ACECLOFENACO                                 100MG CX 24 COMP REV##40,08 
7897076909312##ACECLOFENACO                                 100MG CX 12 COMP##18,67 
7895296118064##ACECLOFENACO                                 100MG CX 12 COMP##18,53 
7898049795260##ACECLOFENACO                                 100MG CX 12 COMP REV##20,05 
7897076909343##ACECLOFENACO                                 100MG CX 24 COMP##34,91 
7895296118088##ACECLOFENACO                                 100MG CX 24 COMP##34,85 
7893454300115##ACERATUM                                     SOL FR 10ML##10,79 
7896622303642##ACEROGRIP C                                  1G TB 10 COMP EFV##41,20 
7898029550247##ACERTIL                                      10 MG CX CT TB PLAST X 30##88,61 
7896714241821##ACETATO CIPROTERONA+ETINILESTRADIOL          2,0+0,035MG CX 21 COMP REV##11,07 
7898149934514##ACETATO DE CIPROTERONA                       50MG CX 20 COMP##65,46 
7898907313858##ACETATO DE CIPROTERONA+ETINILESTRADIOL       2,0+0,035MG CX 21 COMP REV##11,07 
7898907313872##ACETATO DE CIPROTERONA+ETINILESTRADIOL       2,0+0,035MG CX 63 COMP REV##23,58 
7896422515399##ACETATO DE CLOSTEBOL+SULFATO DE NEOMICINA    5+5MG CREM DERM BG 30##15,61 
7896422515405##ACETATO DE CLOSTEBOL+SULFATO DE NEOMICINA    5+5MG CREM VAG BG 45G+8APLIC##26,63 
7898149934910##ACETATO DE DESMOPRESSINA                     0,1MG/ML SOL NAS FA X 2,5 ML##111,35 
7896004721903##ACETATO DE DEXAMETASONA                      1G CREME DERM BG 10##5,40 
7896004721897##ACETATO DE DEXAMETASONA                      1MG CREME DERM BG 10##5,40 
7898148294602##ACETATO DE DEXAMETASONA                      1MG/G CREME DERM 100BG X 10G HOSP##350,80 
7898148294596##ACETATO DE DEXAMETASONA                      1MG/G CREME DERM BG 10##5,37 
7896006267010##ACETATO DE DEXAMETASONA                      1MG CREME DERM BG 10##4,78 
7896112123026##ACETATO DE DEXAMETASONA                      1MG CREME DERM BG 10##5,35 
7899095232372##ACETATO DE DEXAMETASONA                      1MG CREME DERM BG 10##5,01 
7896523210698##ACETATO DE DEXAMETASONA                      1MG/G CREM DERM BG 10##5,16 
7896006267072##ACETATO DE HIDROCORTISONA                    10MG CREME DERM BG 20##6,72 
7896112132936##ACETATO DE HIDROCORTISONA                    10MG CREME DERM BG 15##6,32 
7896112132974##ACETATO DE HIDROCORTISONA                    10MG CREME DERM BG 30##11,41 
7899095230293##ACETATO DE PREDNISOLONA                      10MG SUS OFT FR 5ML##16,70 
7896548138281##ACETATO DE PREDNISOLONA                      10MG SUS OFT FR GTS 5ML##15,67 
7897732601932##ACETAZONA                                    0,1MG/ML FR 120ML##8,40 
7897732601727##ACETAZONA                                    1MG/G CREME DERM BG 10##6,45 
7893736023766##ACETICIL                                     100MG CX 20 COMP##6,53 
7893736007527##ACETICIL                                     100MG CX 200 COMP##20,35 
7893736027525##ACETICIL                                     500MG CX 20 COMP##9,38 
7893736013764##ACETICIL                                     500MG CX 500 COMP##75,39 
7898148297986##ACETILCISTEINA                               120MG/G GRAN 200 ENV X 5G E.M##259,83 
7898148297979##ACETILCISTEINA                               120MG/G GRAN CX 16 ENV X 5##32,32 
7898148298068##ACETILCISTEINA                               20MG/G GRAN 16 ENV X 5##13,38 
7898148296620##ACETILCISTEINA                               20MG/ML XPE FR 100ML+CM##15,41 
7898148296637##ACETILCISTEINA                               20MG/ML XPE FR 150ML+CM##15,66 
7898148296606##ACETILCISTEINA                               40MG XP FR 120 ML CM##20,12 
7898148299577##ACETILCISTEINA                               40MG/G GRAN 16 ENV X 5##14,85 
7894916143899##ACETILCISTEINA                               100MG CX 10 ENV X 5##8,95 
7896004719979##ACETILCISTEINA                               100MG GRAN 10ENV X 5##8,41 
7896004708706##ACETILCISTEINA                               200MG CX 16 ENV X 5##14,57 
7896004719986##ACETILCISTEINA                               200MG GRAN 10ENV X 5##8,92 
7898095340414##ACETILCISTEINA                               20MG XPE FR 100ML+CM##11,87 
7896004715292##ACETILCISTEINA                               20MG XPE FR 120ML INF##16,54 
7896004715285##ACETILCISTEINA                               20MG XPE FR 120ML INF##14,93 
7894916143400##ACETILCISTEINA                               20MG XPE FR 120ML INF##15,98 
7896004713366##ACETILCISTEINA                               40MG XPE FR 120ML ADU##21,63 
7896004713373##ACETILCISTEINA                               40MG XPE FR 120ML ADU##19,91 
7894916142656##ACETILCISTEINA                               40MG XPE FR 120ML ADU##21,74 
7894916143912##ACETILCISTEINA                               600MG CX 10 ENV X 5##22,32 
7894916142632##ACETILCISTEINA                               600MG CX 16 ENV X 5##27,84 
7896004713342##ACETILCISTEINA                               600MG GRAN 16 ENV X 5##28,10 
7896006259732##ACETILCISTEINA                               10% SOL INJ 5AMP X 3ML##10,15 
7896014655007##ACETILCISTEINA                               100MG 5AMP X 3ML##10,08 
7891317448158##ACETILCISTEINA                               100MG CX 30 ENV X 5G  EMB FRAC##25,50 
7896014655014##ACETILCISTEINA                               100MG INJ 100AMP X 3ML EMB. HOSP.##201,51 
7891317448165##ACETILCISTEINA                               200MG CX 30 ENV X 5G EMB FRAC##28,45 
7896006210221##ACETILCISTEINA                               20MG XPE FR 120ML##16,49 
7891317448172##ACETILCISTEINA                               600MG CX 30 ENV X 5G EMB FRAC##63,35 
7891317001056##ACETILCISTEINA                               100MG CX 16 SACHES X 5##14,96 
7891317001063##ACETILCISTEINA                               200MG CX 16 SACHES X 5##16,69 
7898148296613##ACETILCISTEINA                               20MG XPE CX 50 FR X 80ML##341,10 
7891317001940##ACETILCISTEINA                               20MG XPE FR 100ML##16,70 
7899095233805##ACETILCISTEINA                               20MG XPE FR 120ML INF##13,98 
7891317002176##ACETILCISTEINA                               20MG XPE FR 150ML##18,86 
7896112158882##ACETILCISTEINA                               20MG/ML XPE FR 120ML+CM##17,18 
7899095233799##ACETILCISTEINA                               40MG XPE FR 120ML ADU##20,77 
7896112158981##ACETILCISTEINA                               40MG/ML XPE FR 120ML+CM##22,47 
7891317001070##ACETILCISTEINA                               600MG CX 16 SACHES X 5##37,17 
7898148298075##ACETILCISTEINA                               20MG CX 200 X 5G E.M.##107,48 
7898148299584##ACETILCISTEINA                               40MG CX 200 X 5G E.M.##120,82 
7897732696129##ACETILDOR                                    CX 200 COMP INF##16,61 
7896004708768##ACETO+TRIA+SULF+NEOMICINA+GRAMICIDINA+NISTATI1+2,5+0,25MG+100MUI CREME BG 30##17,89 
7896004715698##ACETOFLUX                                    10MG CX 5 COMP##6,57 
7896004712048##ACETONIDA DE TRIANCINOLONA                   1MG POM BG 10##7,45 
7899095230026##ACETONIDA DE TRIANCINOLONA                   1MG POM BG 10##8,39 
7896004713625##ACETONIDO DE ALGESTONA+ENANTATO DE ESTRADIOL 150+10MG INJ AMP X 1ML##6,74 
7896004713618##ACETONIDO DE ALGESTONA+ENANTATO DE ESTRADIOL 150+10MG SOL INJ AMP X 1ML##6,85 
7891317445300##ACETONIDO DE ALGESTONA+ENANTATO DE ESTRADIOL SOL INJ 1ML##6,80 
7894916141734##ACETONIDO DE TRIANCINOLONA                   1MG BG 10##7,37 
7898148293490##ACETONIDO DE TRIANCINOLONA                   1MG/G POM BUCAL BG 10##7,32 
7896004712031##ACETONIDO TRIANCINOLONA                      1MG POM BG 10##7,42 
7893736003291##ACFOL                                        5MG CX 40 COMP##7,18 
7893736013689##ACFOL                                        5MG SOL FR GTS 10ML##6,14 
7896658006432##ACHEFLAN                                     5MG CREME BG 30##21,85 
7896658006920##ACHEFLAN                                     AER FR 54##29,10 
7896658007170##ACHEFLAN                                     CREME BG 60##37,13 
7897917000871##ACICLOFAR                                    200MG CX 25 COMP##49,80 
7897917000864##ACICLOFAR                                    50MG CREME BG 10##16,44 
7896523200637##ACICLOMED                                    50MG CREME DERM BG 10##9,30 
7896331702279##ACICLOR                                      50MG/G CREME DERM BG 10##16,12 
7896014674701##ACICLOVIR                                    50MG CREME DERM BG 10##17,25 
7898095340131##ACICLOVIR                                    200MG CX 10 COMP##43,08 
7896714205748##ACICLOVIR                                    200MG CX 25 COMP##63,96 
7898095340155##ACICLOVIR                                    200MG CX 25 COMP##78,12 
7899547503067##ACICLOVIR                                    200MG CX 280 COMP EMB FRAC##368,08 
7898148298372##ACICLOVIR                                    200MG CX 30 COMP##63,30 
7898148298396##ACICLOVIR                                    200MG CX 450 COMP HOSP##591,98 
7898148299324##ACICLOVIR                                    50MG CREM DERM CX 100 BG X 10G HOSP##1.093,49 
7896714203096##ACICLOVIR                                    50MG CREME BG 10##13,93 
7896006225874##ACICLOVIR                                    50MG CREME BG 10##17,91 
7896004714011##ACICLOVIR                                    50MG CREME BG 10##13,31 
7894916143295##ACICLOVIR                                    50MG CREME DERM BG 10##14,63 
7898148299317##ACICLOVIR                                    50MG/G CREME DERM BG 10##13,29 
7896004715933##ACICLOVIR                                    CREME BG 10##15,08 
7896181918189##ACICLOVIR                                    200MG BL 25 COMP##63,93 
7897595602626##ACICLOVIR                                    200MG CX 25 COMP##63,24 
7896658012266##ACICLOVIR                                    200MG CX 25 COMP##63,93 
7891721023477##ACICLOVIR                                    200MG FR 25 COMP##71,43 
7897595603494##ACICLOVIR                                    400MG CX 30 COMP##120,58 
7891721023484##ACICLOVIR                                    400MG FR 30 COMP##129,81 
7896658011535##ACICLOVIR                                    50MG CREM DERM BG 10##13,33 
7896181901143##ACICLOVIR                                    50MG CREM DERM X 10##13,32 
7896472502981##ACICLOVIR                                    50MG CREME BG 10##12,88 
7891721200915##ACICLOVIR                                    50MG CREME DERM BG 10##12,58 
7897595608758##ACICLOVIR                                    50MG CREME DERM BG 10##16,22 
7898158696335##ACICLOVIR                                    50MG/G CREM DERM BG 10##13,87 
7896422505741##ACICLOVIR                                    CREME DERM BG 10##14,67 
7897076907400##ACICLOVIR                                    200MG CX 10 COMP##21,45 
7895296217026##ACICLOVIR                                    200MG CX 10 COMP##42,78 
7897076907417##ACICLOVIR                                    200MG CX 25 COMP##44,69 
7896112128762##ACICLOVIR                                    200MG CX 25 COMP##59,53 
7895296217019##ACICLOVIR                                    200MG CX 25 COMP##74,11 
7897076907424##ACICLOVIR                                    400MG CX 10 COMP##42,90 
7897076907431##ACICLOVIR                                    400MG CX 25 COMP##89,38 
7896676405835##ACICLOVIR                                    50MG CREME DERM BG 10##13,30 
7899095202092##ACICLOVIR                                    50MG CREME DERM BG 10##13,96 
7897917002820##ACICLOVIR                                    50MG/G CREM DERM BG X 10##18,23 
7896112128847##ACICLOVIR                                    50MG/G CREME DERM BG 10##12,86 
7896523207629##ACICLOVIR                                    50MG/G CREME DERM BG 10##9,77 
7895296269018##ACICLOVIR                                    50MG/G CREME DERM BG 10##14,95 
7898049794423##ACIDINA                                      FR 240ML##24,71 
7896004713182##ACIDO ACETILSALICILICO                       100MG CX 100 COMP##17,78 
7896004710907##ACIDO ACETILSALICILICO                       100MG CX 200 COMP##32,76 
7896004710891##ACIDO ACETILSALICILICO                       100MG CX 30 COMP##5,17 
7896004722849##ACIDO ACETILSALICILICO                       300MG CX 3BL X 10 COMP REV##21,01 
7896004703572##ACIDO ACETILSALICILICO                       500MG DISPLAY 200 COMP##31,72 
7898920244016##ACIDO ACETILSALICILICO                       100MG CX 20 COMP##2,88 
7898920244023##ACIDO ACETILSALICILICO                       100MG CX 200 COMP##28,66 
7896523208084##ACIDO ACETILSALICILICO                       100MG CX 200 COMP E.M##32,85 
7896523208091##ACIDO ACETILSALICILICO                       500MG CX 100 COMP E.M##19,62 
7898920244047##ACIDO ACETILSALICILICO                       500MG CX 20 COMP##2,82 
7898920244054##ACIDO ACETILSALICILICO                       500MG CX 200 COMP##28,38 
7896714208206##ACIDO FUSIDICO                               20MG CREME BG 15##22,58 
7898148298501##ACIDO FUSIDICO                               20MG/G CREM DERM CT BG X 15##22,58 
7896004726885##ACIDO FUSIDICO+VAL BETAMETASONA              20+1MG CREME DERM BG 15##29,94 
7894916145633##ACIDO FUSIDICO+VAL BETAMETASONA              20+1MG CREME DERM BG 15##29,93 
7895296034029##ACIDO FUSIDICO+VAL DE BETAMETASONA           20+1MG/G CREME DERM BG 15##29,83 
7896004720869##ACIDO MEFENAMICO                             500MG CX 24 COMP##11,66 
7896004720876##ACIDO MEFENAMICO                             500MG CX 24 COMP##11,69 
7894916144261##ACIDO MEFENAMICO                             500MG CX 2BL X 12 COMP##11,69 
7896422516877##ACIDO MEFENAMICO                             500MG CX 12 COMP##5,82 
7896422517195##ACIDO MEFENAMICO                             500MG CX 24 COMP##11,66 
7896181911517##ACIDO MEFENAMICO                             500MG CX 24 COMP##11,37 
7896242101390##ACIDO TRANEXAMICO                            50MG SOL INJ CX 5 AMP X 5ML##9,40 
7896242142287##ACIDO TRANEXAMICO                            50MG SOL INJ CX 50 AMP X 5ML##188,12 
7894916144971##ACIDO TRANEXAMICO                            250MG CX 12 COMP##25,24 
7896004723020##ACIDO TRANEXAMICO                            250MG CX 1BL X 12 COMP##25,24 
7896014670055##ACIDO TRANEXAMICO                            50MG/ML SOL INJ CX 5 AMP X 5 ML##10,44 
7896014670062##ACIDO TRANEXAMICO                            50MG/ML SOL INJ CX 50AMP X 5ML##208,75 
7891317459222##ACIDO ZOLEDRONICO                            4MG SOL INJ FA X 5ML##708,06 
7896241232903##ACINIC                                       500MG CX 30 COMP##35,22 
7896241232958##ACINIC                                       750MG LP X 30 COMP##31,74 
7898495604727##ACIVIRAX                                     200MG CX 25 COMP##41,58 
7898158693556##ACIVIRAX                                     50MG CREME DERM BG 10##11,98 
7898549753425##ACNASE                                       ACNASE CLEAN GEL CREME X 50##40,29 
7898549756013##ACNASE                                       ACNASE CLEAN MOUSSE LIMP X 150ML##37,99 
7896082900412##ACNASE                                       CLEAN CREME 20##27,88 
7896082900351##ACNASE                                       CREME 25GR##21,68 
7896082900047##ACNASE                                       GEL 20##20,06 
7896082900405##ACNASE                                       GEL ESFOLIANTE 80##15,76 
7896082900504##ACNASE                                       LAPISEIRA SECATIVA 0,3##10,23 
7896082900856##ACNASE                                       LENCOS UMED X 16##9,51 
7896082900399##ACNASE                                       LOCAO ADSTRINGENTE 130ML##14,15 
7896082900054##ACNASE                                       SABONETE 110##6,01 
7896082900436##ACNASE                                       SABONETE LIQUIDO 200ML##15,92 
7896082900382##ACNASE                                       SHAMPOO DE ENXOFRE 130ML##11,22 
7898549756624##ACNASE CLEAN                                 SAB ANTIACNEICO BARRA X 80##6,23 
7898549756617##ACNASE CLEAN                                 SAB ESFOLIANTE BARRA X 80##6,23 
7898549756631##ACNASE CLEAN                                 SAB LIMPEZA PROFUNDA BARRA X 80##6,23 
7898495600255##ACNEE LOSS                                   50MG/G GEL BG 20##15,13 
7896112182764##ACNEFIN                                      50MG/G GEL BG 20##16,24 
7896523208282##ACNEZIL                                      50MG/G GEL BG 20##13,02 
7896523208824##ACNEZIL BASE                                 100MG/G BG X 10##22,97 
7896004734057##ACNOVA                                       10MG 6BL X 5 CAP##48,51 
7896004734064##ACNOVA                                       20MG 6BL X 5 CAPS##89,56 
7896226505855##ACTEMRA                                      20MG SOL INJ CX 1FA X 4ML##532,44 
7896226505879##ACTEMRA                                      20MG/ML SOL INJ CX 1FA X 10ML##1.331,11 
7898040320782##ACTIFEDRIN                                   2,5+60MG CX 20 COMP##6,99 
7898040320799##ACTIFEDRIN                                   6+0,25MG XPE FR 100ML##7,26 
7896023793295##ACTIVE BLOC                                  FPS 15 FR 120ML##18,26 
7896023793301##ACTIVE BLOC                                  FPS 30 FR 120ML##21,37 
7896023793608##ACTIVE BLOC                                  FPS 30 FR 120ML  KIDS##24,75 
7896023793615##ACTIVE BLOC                                  FAMILY FPS 30 FR 480ML##56,60 
7896023793400##ACTIVE BLOC                                  BRONZEADOR FPS 2 FR 120ML##17,89 
7891317480738##ACTIVELLE                                    1+0,5MG CX 28 COMP REV##32,80 
7891058004217##ACTONEL                                      150MG CX 1 COMP REV (UMA VEZ AO MES)##103,20 
7891058019259##ACTONEL                                      35MG CX 4 COMP REV (UMA VEZ POR SEMANA)##103,20 
7891058016142##ACTONEL CHRONOS                              35MG CX 2 COMP REV LIB RETARD##53,70 
7891058016159##ACTONEL CHRONOS                              35MG CX 4 COMP REV LIB RETARD##107,40 
7891158042287##ACTOS                                        15MG FR 15 COMP##50,42 
7891158042294##ACTOS                                        30MG FR 15 COMP##53,34 
7891158042300##ACTOS                                        45MG FR 15 COMP##104,16 
7898040323332##ACTSUN                                       FPS 30##25,12 
7898040323301##ACTSUN                                       FPS 30##30,15 
7898040323318##ACTSUN                                       FPS 30 FACIAL##21,54 
7898040323325##ACTSUN                                       FPS 45##28,38 
7898040323332##ACTSUN                                       FPS 60##25,47 
7898040323332##ACTSUN                                       FPS 60##30,56 
7898040323295##ACTSUN                                       FPS 60 COLOR##27,64 
7897316800027##ACULAR                                       0,5% SOL OFT 5ML##39,84 
7897316805572##ACULAR CMC                                   0,45% CX 10 FLAC##28,67 
7897316805589##ACULAR CMC                                   0,45% CX 20 FLAC##57,36 
7897316805596##ACULAR CMC                                   0,45% CX 30 FLAC##86,03 
7897316804742##ACULAR LS                                    0,40% FR 10ML##63,72 
7897316804735##ACULAR LS                                    0,40% FR 5ML##31,87 
7896112452461##AD-MUC                                       POM 10##19,10 
7896641800627##AD-TIL                                       SOL FR 10ML##5,14 
7896641808609##AD-TIL                                       SOL FR 20ML##10,29 
7897473201637##ADACNE                                       1,0MG GEL BG 30##23,37 
7897473201798##ADACNE CLIN                                  1 MG GEL BG 30##24,18 
7897473205741##ADACNE CLIN                                  1+10MG GEL BG 45##34,74 
7897473206724##ADACNE SEC                                   BARRA 90##23,87 
7891106000918##ADALAT                                       10MG FR 60 CAP##23,99 
7891106904094##ADALAT OROS                                  20MG 30 COMP##94,84 
7891106002370##ADALAT OROS                                  20MG FR 15 COMP##44,03 
7891106903936##ADALAT OROS                                  30MG CX 30 COMP##115,87 
7891106000932##ADALAT OROS                                  30MG FR 15 COMP##57,95 
7891106903943##ADALAT OROS                                  60MG CX 30 COMP##170,67 
7891106000949##ADALAT OROS                                  60MG FR 15 COMP##85,32 
7891106001588##ADALAT RETARD                                10MG FR 30 COMP##16,66 
7891106000925##ADALAT RETARD                                20MG FR 30 COMP##24,69 
7896004712727##ADAPALENO                                    1MG GEL BG 30##37,27 
7896004712697##ADAPALENO                                    1MG GEL BG 30##35,99 
7894916142212##ADAPALENO                                    1MG GEL BG 30##35,99 
7896422515122##ADAPALENO                                    1MG GEL BG 30##31,69 
7896181911432##ADAPALENO                                    1MG GEL DERM BG 30##34,83 
7896422518321##ADAPEL                                       1MG GEL BG 20##21,11 
7896641810275##ADCETRIS                                     50MG PO LIOF CX 1FA##13.891,75 
7897322709420##ADDERA D3                                    1.000UI COMP REV X 30##27,61 
7897322709529##ADDERA D3                                    50.000UI COMP REV X 4##83,50 
7897322709468##ADDERA D3                                    7.000UI COMP REV X 4##25,76 
7897322707617##ADDERA D3                                    SOL OR FR GTS 10ML##32,21 
7896004702070##ADEDERME                                     POM BG 45##9,97 
7890282800022##ADEFORTE                                     SOL OR FR GTS 15ML##33,95 
7890282800015##ADEFORTE                                     SOL ORAL CX 1AMP X 3ML##6,22 
7890282800176##ADEFORTE                                     SOL ORAL CX 25AMP X 3ML##145,74 
7896094200418##ADENOCARD                                    3MG/ML SOL INJ CX 2 AMP X 2ML##36,58 
7896094200425##ADENOCARD                                    3MG/ML SOL INJ CX 50 AMP X 2ML##644,25 
7896360001152##ADEPLEX PLUS                                 FR 20ML##17,90 
7896185955005##ADEROGIL                                     5500+2200UI/ML SOL OR FR GTS 10ML##5,91 
7896658003165##ADINOS                                       0,5MG GEL CREM BG 15##8,91 
7896658002960##ADINOS                                       0,5MG GEL CREM BG 30##16,80 
7896658011030##ADINOS GEN                                   0,5+1,0MG/G GEL CREM BG 15##10,37 
7896658011412##ADINOS GEN                                   0,5+1,0MG/G GEL CREME BG 30##20,54 
7896658021671##ADIPEPT                                      20MG CX 14 COMP REV##17,59 
7896658021688##ADIPEPT                                      20MG CX 28 COMP REV##30,13 
7896658021664##ADIPEPT                                      20MG CX 7 COMP REV##9,78 
7896658021725##ADIPEPT                                      40MG CX 14 COMP REV##17,59 
7896658021732##ADIPEPT                                      40MG CX 28 COMP REV##30,13 
7896658021718##ADIPEPT                                      40MG CX 7 COMP REV##9,78 
7896094901100##ADNAX                                        1+0,5MG SOL NAS FR 20ML ADU##8,90 
7898040320683##ADOLESS                                      0,060+0,015MG CX 28 COMP REV##22,13 
7895858003159##ADRECON                                      1MG/G CREM DERM 100BGX10G EMB HOSP##681,31 
7895858003142##ADRECON                                      1MG/G CREM DERM BG 10##6,80 
7891268100112##ADRIBLASTINA RD                              10MG PO LIOF INJ CX 1FA HOSP##43,55 
7891268100136##ADRIBLASTINA RD                              50MG PO LIOF INJ CX 1FA HOSP##180,95 
7795320050127##ADVANTAN                                     1MG/G CREME 15##35,12 
7795320050646##ADVANTAN                                     1MG/G LOCAO FR 20##44,98 
7891106910712##ADVANTAN                                     1MG/ML SOL GT 20ML##48,09 
7891045038386##ADVIL                                        200MG CX 2BL X 10 COMP##15,53 
7891045040501##ADVIL                                        200MG CX 50BL X 2 COMP##77,71 
7891045040587##ADVIL                                        400MG CX 12BL X 3 CAP##53,34 
7891045043595##ADVIL                                        400MG CX 2BL X 10 CAP##26,40 
7891045040426##ADVIL                                        400MG CX 8 CAP (IMP)##11,73 
7891045043564##ADVIL                                        400MG CX 8 CAP (NAC)##11,73 
7891045043601##ADVIL                                        400MG CX 8+2 CAP##12,32 
7891045043588##ADVIL                                        400MG FR 16 CAP##23,47 
7897473201378##AEROCORT S                                   50+100MCG AER BUC FR 200 DOS##26,91 
