7898014561838##ALCANATAN                                    250MG FR 150ML##16,62 
7896014658046##ALFAEPOETINA                                 200UI/ML SOL INJ 12 SER X 0,5ML##530,42 
7896014658299##ALFAEPOETINA                                 40000UI/ML SOL INJ 12SER X 1ML##13.022,88 
7896014658251##ALFAEPOETINA                                 40000UI/ML SOL INJ 1SER X 1ML##1.085,22 
7896014658091##ALFAEPOETINA                                 4000UI/ML SOL INJ 12SER X 0,5ML##986,93 
7896014658244##ALFAEPOETINA                                 4000UI/ML SOL INJ 12SER X 1ML##1.681,86 
7896014658053##ALFAEPOETINA                                 4000UI/ML SOL INJ 1SER X 0,5ML##82,22 
7896014658206##ALFAEPOETINA                                 4000UI/ML SOL INJ 1SER X 1ML##140,14 
7896014660797##ALFAEPOETINA HUMANA RECOMBINANTE             10000UI INJ 12AMP X 1ML##4.391,83 
7896014660209##ALFAEPOETINA HUMANA RECOMBINANTE             10000UI INJ 12FA X 1ML##4.391,83 
7896014660520##ALFAEPOETINA HUMANA RECOMBINANTE             10000UI INJ 12SER PREEN X 1ML##4.391,83 
7896014660780##ALFAEPOETINA HUMANA RECOMBINANTE             10000UI INJ 1AMP X 1ML##402,22 
7896014660193##ALFAEPOETINA HUMANA RECOMBINANTE             10000UI INJ 1FA+DIL X 1ML##402,22 
7896014660513##ALFAEPOETINA HUMANA RECOMBINANTE             10000UI INJ 1SER PREEN X 1ML##402,22 
7896014660711##ALFAEPOETINA HUMANA RECOMBINANTE             1000UI INJ 12AMP X 1ML##464,41 
7896014660148##ALFAEPOETINA HUMANA RECOMBINANTE             1000UI INJ 12FA X 1ML##464,41 
7896014660322##ALFAEPOETINA HUMANA RECOMBINANTE             1000UI INJ 12FA+DIL X 1ML##451,30 
7896014660469##ALFAEPOETINA HUMANA RECOMBINANTE             1000UI INJ 12SER PREEN X 0,3ML##1.085,58 
7896014660483##ALFAEPOETINA HUMANA RECOMBINANTE             1000UI INJ 12SER PREEN X 0,4ML##1.681,86 
7896014660704##ALFAEPOETINA HUMANA RECOMBINANTE             1000UI INJ 1AMP X 1ML##44,19 
7896014660131##ALFAEPOETINA HUMANA RECOMBINANTE             1000UI INJ 1FA X 1ML##44,19 
7896014660315##ALFAEPOETINA HUMANA RECOMBINANTE             1000UI INJ 1FA+DIL X 1ML##44,19 
7896014660735##ALFAEPOETINA HUMANA RECOMBINANTE             2000UI INJ 12 AMP X 1ML##986,93 
7896014660162##ALFAEPOETINA HUMANA RECOMBINANTE             2000UI INJ 12FA X 1ML##986,93 
7896014660346##ALFAEPOETINA HUMANA RECOMBINANTE             2000UI INJ 12FA+DIL X 1ML##986,93 
7896014660421##ALFAEPOETINA HUMANA RECOMBINANTE             2000UI INJ 12SER PREEN X 0,5ML##530,43 
7896014660728##ALFAEPOETINA HUMANA RECOMBINANTE             2000UI INJ 1AMP X 1ML##82,22 
7896014660155##ALFAEPOETINA HUMANA RECOMBINANTE             2000UI INJ 1FA X 1ML##82,22 
7896014660339##ALFAEPOETINA HUMANA RECOMBINANTE             2000UI INJ 1FA+DIL X 1ML##82,22 
7896014660414##ALFAEPOETINA HUMANA RECOMBINANTE             2000UI INJ 1SER PREEN X 0,5ML##44,19 
7896014660759##ALFAEPOETINA HUMANA RECOMBINANTE             3000UI INJ 12AMP X 1ML##1.085,58 
7896014660360##ALFAEPOETINA HUMANA RECOMBINANTE             3000UI INJ 12FA+DIL X 1ML##1.085,58 
7896014660742##ALFAEPOETINA HUMANA RECOMBINANTE             3000UI INJ 1AMP X 1ML##90,47 
7896014660353##ALFAEPOETINA HUMANA RECOMBINANTE             3000UI INJ 1FA+DIL X 1ML##90,47 
7896014660452##ALFAEPOETINA HUMANA RECOMBINANTE             3000UI INJ 1SER PREEN X 0,3ML##90,47 
7896014660216##ALFAEPOETINA HUMANA RECOMBINANTE             3000UI SOL INJ 1FA X 1ML##95,94 
7896014660254##ALFAEPOETINA HUMANA RECOMBINANTE             3000UI SOL INJ CX 12FA X 1ML##1.151,14 
7896014660810##ALFAEPOETINA HUMANA RECOMBINANTE             40000UI INJ 12AMP X 1ML##13.022,88 
7896014660544##ALFAEPOETINA HUMANA RECOMBINANTE             40000UI INJ 12SER PREEN X 1ML##13.022,88 
7896014660803##ALFAEPOETINA HUMANA RECOMBINANTE             40000UI INJ 1AMP X 1ML##1.085,22 
7896014660537##ALFAEPOETINA HUMANA RECOMBINANTE             40000UI INJ 1SER PREEN X 1ML##1.085,22 
7896014660506##ALFAEPOETINA HUMANA RECOMBINANTE             4000UI INJ 12 SER PREEN X 1ML##1.681,86 
7896014660773##ALFAEPOETINA HUMANA RECOMBINANTE             4000UI INJ 12AMP X 1ML##1.681,86 
7896014660445##ALFAEPOETINA HUMANA RECOMBINANTE             4000UI INJ 12SER PREEN X 0,5ML##986,93 
7896014660766##ALFAEPOETINA HUMANA RECOMBINANTE             4000UI INJ 1AMP X 1ML##140,14 
7896014660179##ALFAEPOETINA HUMANA RECOMBINANTE             4000UI INJ 1FA X 1ML##140,14 
7896014660377##ALFAEPOETINA HUMANA RECOMBINANTE             4000UI INJ 1FA+DIL X 1ML##140,14 
7896014660476##ALFAEPOETINA HUMANA RECOMBINANTE             4000UI INJ 1SER PREEN X 0,4ML##140,14 
7896014660438##ALFAEPOETINA HUMANA RECOMBINANTE             4000UI INJ 1SER PREEN X 0,5ML##82,22 
7896014660490##ALFAEPOETINA HUMANA RECOMBINANTE             4000UI INJ 1SER PREEN X 1ML##140,14 
7896014660384##ALFAEPOETINA HUMANA RECOMBINANTE             4000UI PO LIOF INJ 12FA+DILX1ML##1.681,86 
7896014660186##ALFAEPOETINA HUMANA RECOMBINANTE             4000UI SOL INJ 12FA+DIL X 1ML##1.681,86 
7898149937799##ALFAESTRADIOL                                0,25MG/ML SOL FR X 100ML##68,13 
7896181901235##ALFAINTERFERONA                              10000MUI PO LIOF INJ 5FA+DIL X 1ML##1.353,25 
7896181903055##ALFAINTERFERONA                              3000MUI PO LIOF INJ 5FA+DIL##476,07 
7896181904014##ALFAINTERFERONA                              5000MUI PO LIOF INJ 5FA+DIL##711,73 
7896676408256##ALFAST                                       0,544MG CX 10AMP X 5ML##288,78 
7896676408263##ALFAST                                       0,544MG CX 25AMP X 10ML##835,78 
7898505092506##ALGESTONA                                    150+10MG/ML SOL INJ 1 AMP X 1ML##6,28 
7898505092506##ALGESTONA ACETOFENIDA+ENANTATO DE ESTRADIOL  150+10 MG/ML SOL INJ X 1ML##6,83 
7894916142809##ALGESTONA+ESTRADIOL                          150+10MG SOL INJ X 1ML##6,82 
7896523200583##ALGEXIN                                      10+250MG CX 10 DR##4,51 
7896523200590##ALGEXIN                                      6,67+333,4MG/ML SOL OR FR GOT 15ML##10,25 
7897473201859##ALGI TANDERIL                                30+125+50+300MG CX 12 COM##9,11 
7897473200425##ALGI TANDERIL                                30+125+50+300MG CX 30 COM##22,79 
7896360001176##ALGI-ARTICULAR                               FR 30 COMP REV##33,00 
7896331703047##ALGI-REUMATRIL                               200MG FR 20 COMP REV##13,65 
7896004714233##ALGIFLEX                                     200MG CX 20 COMP##10,18 
7891721013010##ALGINAC                                      1+50+50+50MG CX 15 COM REV##16,02 
7891721008405##ALGINAC                                      1+50+50+50MG CX 30 COM REV##32,13 
7891721012990##ALGINAC                                      1+50+50+50MG CX 4 COM REV##4,26 
7891721008368##ALGINAC                                      5000MCG+100+100+75MG INJ 3AMPX1ML+3AMPX2ML##15,91 
7891721023965##ALGINAC RETARD                               1+100+100+100MG CX 10 COM REV##31,52 
7891721023958##ALGINAC RETARD                               1+100+100+100MG CX 4 COM REV##13,90 
7898049796502##ALGY-FLANDERIL                               300MG CX 20 COMP##9,16 
7898049792450##ALGY-FLANDERIL                               300MG CX 500 COMP EMB HOSP##121,26 
7898049792269##ALGY-FLANDERIL                               50MG/ML 50 FR GTS X 30ML EMB HOSP##387,69 
7898049793334##ALGY-FLANDERIL                               50MG/ML SUS ORAL FR GTS X 30ML##11,48 
7898049796519##ALGY-FLANDERIL                               600MG CX 20 COMP##18,07 
7898049792955##ALGY-FLANDERIL                               600MG CX 500 COMP EMB HOSP##224,51 
7896023700262##ALICURA                                      DISPLAY 50BL X 4 COMP ADU##109,18 
7896676411829##ALIMAX                                       10.000UI SPRAY FR 50ML##193,62 
7896382706295##ALIMTA                                       100MG FR 10ML HOSP##1.214,71 
7896382705366##ALIMTA                                       500MG FR 50ML HOSP##6.073,57 
7896830500192##ALIN                                         400MG CX 1 COMP MAST##4,85 
7896830500185##ALIN                                         400MG SUS ORAL FR 10M##5,32 
7891158023675##ALITRAQ                                      PO ENV 76G SB BAUNILHA##53,53 
7893736076011##ALIVBABY                                     100MUI+200MG POM BG 20##10,82 
7893736076004##ALIVBABY                                     100MUI+200MG POM BG 60##32,49 
7896862925055##ALIVGLOS                                     BABY POM BG 45 ##9,10 
7896862925017##ALIVGLOS                                     POM BG 45##9,10 
7896323910026##ALIVIADOR                                    AER LAT 150ML CX 60UND##25,66 
7896323910019##ALIVIADOR                                    POM BG 23G CX 200UND##10,01 
7893736070002##ALIVIAN                                      7,5MG CX 10 COMP##16,51 
7897299900592##ALIVIDERM                                    10MG CREME DERM BG 50##20,70 
7898158690487##ALIVIOL                                      POM BG 20##9,19 
7891142115492##ALIVIUM                                      100MG SUS ORAL FR GTS 20ML##19,35 
7891142115508##ALIVIUM                                      30MG SUS ORAL FR 100ML+SER DOS##22,29 
7891142115430##ALIVIUM                                      400MG CX 10 COMP REV##13,65 
7891142115478##ALIVIUM                                      50MG FR GTS 30ML##16,00 
7891142115386##ALIVIUM                                      600MG CX 10 COMP REV##19,41 
7891142115348##ALIVIUM                                      600MG CX 4 COMP REV##7,71 
7896523213675##ALIVPRESS                                    10MG CX 30 COMP##27,86 
7896523213644##ALIVPRESS                                    5 MG COM CT BL AL PLAS OPC X 30##15,88 
7896269901027##ALKERAN                                      2MG CX 25 COMP##36,47 
7896269901034##ALKERAN                                      50MG INJ IV+DIL##131,40 
7891058168049##ALLEGRA                                      120MG CX 10 COMP REV##36,15 
7891058001506##ALLEGRA                                      120MG CX 5 COMP REV##18,08 
7891058169015##ALLEGRA                                      180MG CX 10 COMP REV##55,18 
7891058001513##ALLEGRA                                      180MG CX 5 COMP REV##27,59 
7891058024314##ALLEGRA                                      60MG CX 10 COMP REV##18,35 
7891058006716##ALLEGRA D                                    60+120 MG BL 10 COM##32,77 
7891058004354##ALLEGRA PEDIATRICO                           6MG/ML SUS OR FR 150ML+SER DOS##40,76 
7891058004347##ALLEGRA PEDIATRICO                           6MG/ML SUS OR FR 60ML+SER DOS##16,31 
7898495600385##ALLERT VIBE                                  CX 12 FR X 20 CAP##214,56 
7896658004896##ALLESTRA 20                                  0,075+0,020MG CX 21 DR##15,64 
7896658005046##ALLESTRA 20                                  0,075+0,020MG CX 3BL X 21DR##37,27 
7896658005053##ALLESTRA 30                                  0,075+0,0,30MG CX 3BL X 21 DR##37,25 
7896658004902##ALLESTRA 30                                  0,075+0,030MG CX 21 DR##15,64 
7896004705378##ALLEXOFEDRIN                                 120MG CX 10 COMP REV##25,93 
7896004705385##ALLEXOFEDRIN                                 180MG CX 10 COMP REV##36,41 
7896004705408##ALLEXOFEDRIN D                               60+120MG CX 10 COMP REV##28,11 
7896006207757##ALLFORT                                      CX 30 COMP##37,70 
7898152460413##ALLIUM SATIVUM D1                            0,1ML SOL OR FR GOT 30ML##7,60 
7891106906890##ALLURENE                                     2MG CX 28 COMP##161,81 
7896317905618##ALOAX                                        50MG GEL BG 30##16,73 
7896637025553##ALOIS                                        10MG CX 120 COMP REV##129,86 
7896637024426##ALOIS                                        10MG CX 15 COMP REV##27,19 
7896637023375##ALOIS                                        10MG CX 30 COMP REV##55,14 
7896637025218##ALOIS                                        10MG CX 50 COMP REV##55,27 
7896637024402##ALOIS                                        10MG CX 60 COMP REV##109,20 
7899547503883##ALOPURINOL                                   100MG CX 120 COMP (EMB FRAC)##23,99 
7899547503852##ALOPURINOL                                   100MG CX 300 COMP (EMB HOSP)##48,51 
7899547503951##ALOPURINOL                                   300MG CX 120 COMP (EMB FRAC)##70,46 
7899547503845##ALOPURINOL                                   100MG CX 30 COMP##5,94 
7899547503869##ALOPURINOL                                   100MG CX 600 COMP EMB HOSP##88,21 
7899547503876##ALOPURINOL                                   100MG CX 80 COMP EMB FRAC##16,04 
7899547503913##ALOPURINOL                                   300MG CX 30 COMP##17,47 
7899547503937##ALOPURINOL                                   300MG CX 500 COMP EMB HOSP##154,41 
7899547503944##ALOPURINOL                                   300MG CX 80 COMP EMB FRAC##47,22 
7896422516921##ALOPURINOL                                   100MG CX 30 COMP##6,16 
7897595602114##ALOPURINOL                                   300MG CX 30 COMP##16,79 
7896422516945##ALOPURINOL                                   300MG CX 30 COMP##18,20 
7898148300778##ALOPURINOL                                   100MG CX 600 COMP HOSP##78,49 
7898148300792##ALOPURINOL                                   300MG CX 200 COMP EMB HOSP##58,87 
7898148300808##ALOPURINOL                                   300MG CX 500 COMP HOSP##137,38 
7897129303654##ALOXIDIL                                     FR 50ML##110,52 
7898149937898##ALOZEX                                       0,25MG/ML SOL FR X 100ML##104,28 
7899095203952##ALPHABRIN                                    2MG SOL OFT FR 5ML##35,44 
7897316804087##ALPHAGAN                                     0,20% SOL FR 10ML##89,39 
7897316801017##ALPHAGAN                                     0,20% SOL FR 5ML##55,31 
7897316804209##ALPHAGAN P                                   0,15% SOL FR 5ML##55,31 
7897316805268##ALPHAGAN Z                                   0,10% SOL FR 5ML##28,97 
7896181908982##ALPRAZOLAM                                   0,25MG CX 20 COMP##5,22 
7896181907787##ALPRAZOLAM                                   0,5MG CX 20 COMP##9,78 
7896004710235##ALPRAZOLAM                                   0,25MG CX 20 COMP##6,14 
7896004710273##ALPRAZOLAM                                   0,25MG CX 20 COMP##4,31 
7896004718811##ALPRAZOLAM                                   0,25MG CX 30 COMP##9,05 
7896714221472##ALPRAZOLAM                                   0,25MG CX 30 COMP##9,39 
7896004710297##ALPRAZOLAM                                   0,5MG CX 20 COMP##8,40 
7896004718804##ALPRAZOLAM                                   0,5MG CX 30 COMP##16,62 
7896004718866##ALPRAZOLAM                                   0,5MG CX 30 COMP##12,31 
7896714221465##ALPRAZOLAM                                   0,5MG CX 30 COMP##18,30 
7896714221458##ALPRAZOLAM                                   1,0MG CX 30 COMP##31,70 
7896004710266##ALPRAZOLAM                                   1MG CX 1BL X 20 COMP##15,03 
7896004710259##ALPRAZOLAM                                   1MG CX 20 COMP##21,63 
7896004718828##ALPRAZOLAM                                   1MG CX 2BL X 15 COMP##29,77 
7896004718873##ALPRAZOLAM                                   1MG CX 2BL X 15 COMP##21,21 
7896714223865##ALPRAZOLAM                                   2,0MG CX 30 COMP##51,46 
7896004718835##ALPRAZOLAM                                   2MG CX 20 COMP##34,25 
7896004718880##ALPRAZOLAM                                   2MG CX 20 COMP##29,61 
7896004718842##ALPRAZOLAM                                   2MG CX 30 COMP##51,42 
7896004718897##ALPRAZOLAM                                   2MG CX 30 COMP##39,46 
7896422516983##ALPRAZOLAM                                   0,25MG CX 20COMP##6,24 
7896422516990##ALPRAZOLAM                                   0,25MG CX 30COMP##9,32 
7896422517003##ALPRAZOLAM                                   0,50MG CX 30COMP##17,99 
7896658013614##ALPRAZOLAM                                   0,5MG CX 30 COMP##11,07 
7896181919247##ALPRAZOLAM                                   0,5MG CX 30 COMP##11,08 
7898910350994##ALPRAZOLAM                                   0,5MG CX 30 COMP##8,27 
7896658013683##ALPRAZOLAM                                   1,0MG CX 30 COMP##19,08 
7896181919322##ALPRAZOLAM                                   1,0MG CX 30 COMP##19,08 
7896422517027##ALPRAZOLAM                                   1MG CX 20COMP##21,65 
7898910350963##ALPRAZOLAM                                   1MG CX 30 COMP##14,84 
7896422517034##ALPRAZOLAM                                   1MG CX 30COMP##32,45 
7896658013751##ALPRAZOLAM                                   2,0MG CX 30 COMP##35,51 
7896181919391##ALPRAZOLAM                                   2,0MG CX 30 COMP##35,51 
7896422517041##ALPRAZOLAM                                   2MG CX 30COMP##51,41 
7891317415822##ALPRAZOLAM                                   0,25MG CX 20 COMP##4,37 
7895296280013##ALPRAZOLAM                                   0,25MG CX 20 COMP##6,10 
7895296280075##ALPRAZOLAM                                   0,50MG CX 20 COMP##12,17 
7891317415846##ALPRAZOLAM                                   0,5MG CX 20 COMP##8,49 
7894916141789##ALPRAZOLAM                                   0,5MG CX 20 COMP##8,32 
7896112139034##ALPRAZOLAM                                   0,5MG CX 30 COMP##18,32 
7894916149150##ALPRAZOLAM                                   0,5MG CX 30 COMP##12,31 
7895296280082##ALPRAZOLAM                                   0,5MG CX 30 COMP##17,59 
7896112139096##ALPRAZOLAM                                   1,0MG CX 30 COMP##32,53 
7891317415853##ALPRAZOLAM                                   1MG CX 20 COMP##15,10 
7895296280136##ALPRAZOLAM                                   1MG CX 20 COMP##21,26 
7894916141796##ALPRAZOLAM                                   1MG CX 20 COMP##14,96 
7891317462031##ALPRAZOLAM                                   1MG CX 30 COMP##22,66 
7894916149167##ALPRAZOLAM                                   1MG CX 30 COMP##21,21 
7895296280143##ALPRAZOLAM                                   1MG CX 30 COMP##29,35 
7896112139157##ALPRAZOLAM                                   2,0MG CX 30 COMP##51,45 
7894916143882##ALPRAZOLAM                                   2MG CX 20 COMP##34,16 
7894916149143##ALPRAZOLAM                                   2MG CX 30 COMP##39,46 
7895296280204##ALPRAZOLAM                                   2MG CX 30 COMP##51,29 
7896046300302##ALREX                                        2MG/ML SUS OFT FR GTS 5ML##37,33 
7896015519797##ALTARGO                                      10MG POM BG 5##24,32 
7897076910554##ALTIVA                                       120MG CX 10 COMP##23,47 
7897076910585##ALTIVA                                       180MG CX 10 COMP##35,81 
7896641804274##ALVESCO                                      160MCG SOL INAL FR 120DOS##81,33 
7896641804250##ALVESCO                                      80MCG SOL INAL FR 120DOS##77,25 
7896422514309##ALZEPINOL                                    300MG CX 20 COMP##20,50 
7896422514347##ALZEPINOL                                    600MG CX 20 COMP##39,48 
7891058159054##AMARYL                                       1MG CX 30 COMP##14,97 
7891058160067##AMARYL                                       2MG CX 30 COMP##28,56 
7891058007201##AMARYL                                       3MG CX 30 COMP##31,43 
7891058005221##AMARYL                                       4MG CX 30 COMP##55,30 
7891058007249##AMARYL                                       6MG CX 30 COMP##60,84 
7891317455170##AMATO                                        100MG CX 12 COMP##19,40 
7891317443399##AMATO                                        100MG CX 60 COMP##96,97 
7891317455132##AMATO                                        25MG CX 12 COMP##4,79 
7891317443375##AMATO                                        25MG CX 60 COMP##23,98 
7891317455156##AMATO                                        50MG CX 12 COMP##9,61 
7891317443382##AMATO                                        50MG CX 60 COMP##47,98 
0356146045505##AMBISOME                                     50MG PO LIOF INJ CX 10FA##14.848,76 
0000000000000##AMBISOME                                     INJETAVEL 1FA 50M##1.484,88 
7896622303284##AMBROFLUX                                    3MG XPE FR 120ML##15,76 
7896622303277##AMBROFLUX                                    6MG XPE FR 120ML##21,20 
7898100241026##AMBROL                                       15MG/5ML XPE FR 100ML PED##10,01 
7898100241033##AMBROL                                       30MG/5ML XPE FR 100ML ADU##14,61 
7896523207667##AMBROXMEL                                    3MG/ML XPE FR 120ML PED SB MEL##9,30 
7896523207681##AMBROXMEL                                    6MG/ML XPE FR 120ML ADU SB MEL/EUCALIPTO##10,50 
7898331960031##AMELOVAS                                     10MG CX 20 COMP##22,30 
7898331960048##AMELOVAS                                     10MG CX 30 COMP##21,24 
7898331960017##AMELOVAS                                     5MG CX 20 COMP##12,71 
7898331960024##AMELOVAS                                     5MG CX 30 COMP##11,63 
7896242150084##AMICILON                                     250MG SOL INJ AMP X 2ML##4,44 
7896242150114##AMICILON                                     125MG SOL INJ CX 50 AMP X 2ML##111,60 
7896242150091##AMICILON                                     250MG SOL INJ 50 AMP X 2ML##99,44 
7896242150077##AMICILON                                     50MG SOL INJ CX 50 AMP X 2ML##30,68 
7896014686384##AMICILON                                     125MG/ML SOL INJ CX 50 AMPX2ML##119,90 
7896014686353##AMICILON                                     250MG/ML SOL IN J AMPX2ML##4,78 
7896014686360##AMICILON                                     250MG/ML SOL INJ CX 50AMP X 2ML##106,84 
7896014686346##AMICILON                                     50MG/ML SOL INJ CX 50 AMPX2ML##32,97 
7897595609519##AMIDALIN                                     1+5MG SOL OR SPRAY FR 25ML SB LARANJA##17,02 
7897595609502##AMIDALIN                                     1+5MG SOL OR SPRAY FR 25ML SB MENTA##17,02 
7897595601926##AMIDALIN                                     1,035+5,0MG 100 PAST SB CEREJA##54,84 
7897595601919##AMIDALIN                                     1,035+5,0MG 100 PAST SB LARANJA##54,84 
7897595601902##AMIDALIN                                     1,035+5,0MG 100 PAST SB MENTA##54,84 
7897595603968##AMIDALIN                                     1,035+5MG 100 PAST SB MEL LIMAO##54,84 
7897595601179##AMIDALIN                                     1,035+5MG CX 20 PAST SB CEREJA##9,87 
7897595604149##AMIDALIN                                     1,035+5MG CX 20 PAST SB FRAMBOESA##9,87 
7897595600080##AMIDALIN                                     1,035+5MG CX 20 PAST SB LARANJA##9,87 
7897595602923##AMIDALIN                                     1,035+5MG CX 20 PAST SB MEL-LIMAO##9,87 
7897595601186##AMIDALIN                                     1,035+5MG CX 20 PAST SB MENTA##9,87 
7896714200170##AMILORID                                     CX 30 COMP##11,85 
7898089792603##AMINOFILINA                                  100MG CX 500 COMP (EMB HOSP)##71,36 
7896714218588##AMINOFILINA                                  200MG CX 20 COMP##3,36 
7898049792610##AMINOFILINA                                  200MG CX 500 COMP EMB HOSP##80,55 
7898049794874##AMINOFILINA                                  100MG CX 20 COMP##3,00 
7898049794881##AMINOFILINA                                  200MG CX 20 COMP##3,35 
7896112110347##AMINOFILINA                                  100MG CX 20 COMP##2,80 
7896112191292##AMINOFILINA                                  200MG 250/120 CX 20 COMP##3,02 
7896112110354##AMINOFILINA                                  200MG CX 20 COMP##3,17 
7898208145622##AMINOTRAT                                    24MG SOL INJ CX 50 AMP X 10ML HOSP##38,45 
7897851220069##AMIOBAL                                      100MG CX 30 COMP##15,09 
7897851220076##AMIOBAL                                      200MG CX 30 COMP##19,50 
7899095200456##AMIORON                                      200MG CX 20 COMP##17,97 
