7896016806308##BARACLUDE                                    0,5MG CX 30 COMP##772,12 
7891268402001##BENALET                                      5+50+10MG CX 12 PAST SB FRAMB##8,02 
7891268402025##BENALET                                      5+50+10MG CX 12 PAST SB MEL E LIMAO##8,02 
7891268402018##BENALET                                      5+50+10MG CX 12 PAST SB MENTA##8,02 
7891268402155##BENALET                                      5+50+10MG DISPLAY CX 100 PAST SB FRAMB E.M.##62,19 
7891268402131##BENALET                                      5+50+10MG DISPLAY CX 100 PAST SB MEL E LIMAO##62,19 
7891268402148##BENALET                                      5+50+10MG DISPLAY CX 100 PAST SB MENTA E.M.##62,19 
7891010974916##BENALET                                      5+50+10MG DISPLAY CX 52 PAST SB FRAMB E.M.##34,70 
7891010974923##BENALET                                      5+50+10MG DISPLAY CX 52 PAST SB MEL E LIMAO##34,70 
7891010974930##BENALET                                      5+50+10MG DISPLAY CX 52 PAST SB MENTA E.M.##34,70 
7898495603812##BENATUX                                      XPE 120ML + CP MED##8,93 
7898158693112##BENATUX                                      5+50+10MG CX 12 PAST SB FRAMB##9,61 
7898158693129##BENATUX                                      5+50+10MG CX 12 PAST SB MENTA##9,61 
7898100243358##BENECLER                                     CX 12 FLAC X 10ML##19,12 
7898100243273##BENECLER                                     CX 60 FLAC X 10ML##101,78 
7898100243778##BENECLER                                     6 FLAC X 10ML##9,88 
7896004810041##BENECTRIN                                    CX 20 COMP##13,69 
7896004813172##BENECTRIN                                    SUS FR 100ML##11,63 
7896004810065##BENECTRIN F                                  CX 10 COMP##14,51 
7896261014497##BENEFIBER                                    POTE 155##47,48 
7896261015043##BENEFIBER NUTRIOSE                           CX 10 SACHES X 3,5##20,34 
7896261015500##BENEFIBER NUTRIOSE                           CX 28 SACHES X 3,5##54,15 
7898549750530##BENEFLORA                                    10 SACHES X 2##56,08 
7898942324512##BENEFLORA                                    3 SACHES X 2##30,70 
7898549755924##BENEFLORA                                    50MG CX 15 CAP##55,36 
7898549755917##BENEFLORA                                    50MG CX 30 CAP##28,78 
7896094904682##BENEGRIP                                     CX 20 COMP REV##16,45 
7896094903036##BENEGRIP                                     250+30+250+2MG CX 25BL X 6 COMP REV##125,85 
7896094905825##BENEGRIP MULTI                               13,30+0,33+ 0,13MG SOL OR X 240ML##21,68 
7891106006170##BENEROC                                      FR 100 DR##17,13 
7891106006194##BENEROC COMPLEX                              CX 30 DR##13,20 
7891106006187##BENEROC JUNIOR                               SOL ORAL CGTS FR 20ML##7,51 
7891106006316##BENERVA                                      300MG FR 30 COMP REV##15,65 
7896422518161##BENESTARE                                    625MG CX 30 COMP##22,35 
7896112148852##BENEUM                                       300MG CX 30 COMP REV##15,62 
7896112141938##BENEVAT                                      1MG CREME DERM BG 30##16,06 
7896004706146##BENEVRAN                                     11,6MG GEL BG 60##9,58 
7896004800400##BENEVRAN                                     CX 20 DR##7,70 
7896004706153##BENEVRAN                                     15MG FR GTS 20ML##7,70 
7896658003691##BENFLOGIN                                    30MG SOL OR FR GTS 20ML##5,34 
7896658005206##BENFLOGIN                                    50MG CX 20 DR##6,68 
7897411610644##BENICAR                                      20MG CX 10 COMP REV##10,68 
7897411610606##BENICAR                                      20MG CX 30 COMP REV##32,07 
7897411610651##BENICAR                                      40MG CX 10 COMP REV##11,24 
7897411610620##BENICAR                                      40MG CX 30 COMP REV##33,71 
7897411611016##BENICAR ANLO                                 20+5MG CX 30 COMP REV##39,07 
7897411611054##BENICAR ANLO                                 20+5MG CX 7 COMP REV##9,12 
7897411611030##BENICAR ANLO                                 40+10MG CX 30 COMP REV##44,16 
7897411611122##BENICAR ANLO                                 40+10MG CX 7 COMP REV##10,30 
7897411611023##BENICAR ANLO                                 40+5MG CX 30 COMP REV##44,16 
7897411611108##BENICAR ANLO                                 40+5MG CX 7 COMP REV##10,30 
7897411610668##BENICAR HCT                                  20+12,5MG CX 30 COMP REV##35,35 
7897411600232##BENICAR HCT                                  20+12,5MG CX 7 COMP REV##8,25 
7897411610675##BENICAR HCT                                  40+12,5MG CX 30 COMP REV##40,27 
7897411600249##BENICAR HCT                                  40+12,5MG CX 7 COMP REV##9,40 
7897411610682##BENICAR HCT                                  40+25MG CX 30 COMP REV##40,27 
7897411600256##BENICAR HCT                                  40+25MG CX 7 COMP REV##9,40 
7896015523954##BENLYSTA                                     120 MG PO LIOF INJ CT FA VD INC##571,29 
7896015523961##BENLYSTA                                     400 MG PO LIOF INJ CT FA VD INC##1.904,29 
7891058015695##BENOFLEX P                                   35+450+50MG CX 12 COM##8,38 
7891058003715##BENOFLEX P                                   35+450+50MG CX 120 COM E.M.##83,78 
7896676406160##BENORMAL                                     CX 20BL X 10 DRG EMB HOSP##21,99 
7896422507974##BENTYL                                       SOL OR FR 15ML##9,41 
7897930763791##BENZAC                                       100MG/G GEL BG 60##30,20 
7897930763876##BENZAC                                       25MG/G GEL BG 60##27,95 
7891317496104##BENZETACIL                                   300+1200MUI/ML SUS INJ CX 50FA X 4ML##450,65 
7891317496241##BENZETACIL                                   300.000 U/ML SUS INJ CT 1 FA VD INC X 4 ML##8,58 
7891317430436##BENZETACIL                                   300.000 U/ML SUS INJ CX 10 FA VD INC X 4 ML##85,83 
7898109240433##BENZEVIT                                     BG 40##18,29 
7898109241713##BENZEVIT PREVENT                             BG 45##18,29 
7899547504507##BENZIDROL                                    1,5MG/ML COLUT CT SPR PLAS TRANS 30ML MENTA##16,77 
7896004729770##BENZIFLEX                                    10MG CX 15 COMP REV##10,76 
7896004729787##BENZIFLEX                                    10MG CX 2BL X 15 COMP REV##21,52 
7896004737720##BENZIFLEX                                    5MG 1BL X 15 COMP REV##8,69 
7896004730202##BENZIFLEX                                    5MG 2BL X 15 COMP REV##18,19 
7895858004309##BENZILPEN                                    1000.0000UI PO SOL INJ CX 100FA EMB HOSP##594,13 
7895858004293##BENZILPEN                                    1000.0000UI PO SOL INJ CX 50FA EMB HOSP##297,07 
7898060131184##BENZIN                                       0,1G SAB 60##10,78 
7896006216551##BENZITRAT                                    1,5MG/ML COLUT FR 150ML-CM##8,74 
7897732628038##BENZOBEN                                     250MG/ML EMU TOP FR 60ML##2,70 
7898014560060##BENZODERM                                    EMULSAO FR 100ML##9,04 
7898014560077##BENZODERM                                    SABONETE 60##7,79 
7896004702049##BENZOILMETRONIDAZOL                          4% SUS ORAL FR 120ML##7,84 
7896714207667##BENZOILMETRONIDAZOL                          40MG SUS OR  FR 80ML##5,38 
7898148296408##BENZOILMETRONIDAZOL                          40MG SUS OR CX 50 PLAS AMB X 100 ML EMB HOSP##244,11 
7898148296378##BENZOILMETRONIDAZOL                          40MG/ML SUS OR 50FRX80ML+50CM EMB HOSP##191,15 
7898148296682##BENZOILMETRONIDAZOL                          40MG/ML SUS OR FR 100ML+CM##8,29 
7896112122975##BENZOILMETRONIDAZOL                          40MG/ML SUS ORAL FR 100ML+10ML+CM##7,18 
7898148299683##BENZOILMETRONIDAZOL+NISTATINA+CLORETO BENZALC62,5MG+25MUI+1,25MG CREME VAG BG 40G+10APLIC##21,08 
7896422513227##BENZOILMETRONIDAZOL+NISTATINA+CLORETO BENZALC62,5+1,25MG+25MUI CREME VAG BG 40G+10APLIC##21,16 
7896523210797##BEPANTRIZ                                    50MG/G POM DERM BG 30##11,39 
7896622303314##BEQUIDEX                                     0,80MG XPE FR 120ML INF##12,57 
7896622303307##BEQUIDEX                                     1,6MG XPE FR 120ML ADU##15,72 
7898908753127##BERBERIS                                     SOL ORAL FR GTS 30ML##27,22 
7898205133561##BERINJELA                                    100% 400MG FR 60 CAP##19,62 
7898049798902##BERITIN BC                                   XPE FR 240 ML##21,59 
7898049793068##BERITIN BC                                   XPE FRX 240ML##21,59 
7795320000849##BERLISON                                     10MG/G CREME BG 15##9,76 
7795320050011##BERLISON                                     10MG/G CREME BG 30##17,54 
7795320000856##BERLISON                                     10MG/G POM BG 15##9,76 
7795320050028##BERLISON                                     10MG/G POM BG 30##17,54 
7891106006521##BEROCCAL                                     CX 30 COMP##29,23 
7896026302784##BEROTEC                                      2MG SOL AER TB 10ML+BOCAL##14,93 
7896026300247##BEROTEC                                      5MG SOL ORAL FR 20ML##4,33 
7891058018948##BERRYCRAN                                    500MG CX 30 CAP##69,92 
7897595901187##BESEROL                                      300+125+50+30MG CX 12 COM##12,15 
7891058002770##BESEROL                                      300+125+50+30MG CX 4 COM##3,91 
7898331960109##BESFLOX                                      500MG CX 10 COMP REV##19,72 
7898331960116##BESFLOX                                      500MG CX 14 COMP REV##21,33 
7898331960123##BESFLOX                                      500MG CX 50 COMP REV HOSP##76,19 
7898331960093##BESFLOX                                      500MG CX 6 COMP REV##15,73 
7899095200364##BESILAPIN                                    10MG CX 30 COMP##24,21 
7899095200333##BESILAPIN                                    5MG CX 30 COMP##12,17 
7896112114277##BESILATO DE ANLODIPINA                       10MG CX 30 COMP##38,92 
7896112149668##BESILATO DE ANLODIPINA                       5MG CX 20 COMP##13,91 
7896112149460##BESILATO DE ANLODIPINA                       5MG CX 30 COMP##18,32 
7896676413687##BESILATO DE ANLODIPINO                       10MG CX 100 COMP EMB FRAC##149,65 
7896714211312##BESILATO DE ANLODIPINO                       10MG CX 30 COMP##59,23 
7896004703312##BESILATO DE ANLODIPINO                       10MG CX 30 COMP##76,30 
7898146822159##BESILATO DE ANLODIPINO                       10MG CX 30 COMP##55,10 
7898095343156##BESILATO DE ANLODIPINO                       10MG CX 30 COMP##47,23 
7899547504842##BESILATO DE ANLODIPINO                       10MG CX 30 COMP##48,28 
7898148301201##BESILATO DE ANLODIPINO                       10MG CX 400 COMP HOSP##253,15 
7896004719689##BESILATO DE ANLODIPINO                       10MG CX 90 COMP##206,10 
7899547504835##BESILATO DE ANLODIPINO                       5 MG CX 30 COMP##29,50 
7896714211305##BESILATO DE ANLODIPINO                       5MG CX 30 COMP##29,62 
7896004703305##BESILATO DE ANLODIPINO                       5MG CX 30 COMP##35,07 
7898146822135##BESILATO DE ANLODIPINO                       5MG CX 30 COMP##27,55 
7898095343149##BESILATO DE ANLODIPINO                       5MG CX 30 COMP##23,64 
7898148301171##BESILATO DE ANLODIPINO                       5MG CX 400 COMP EMB HOSP##148,90 
7896004719672##BESILATO DE ANLODIPINO                       5MG CX 90 COMP##94,75 
7896422505796##BESILATO DE ANLODIPINO                       10MG CX 20 COMP##45,97 
7896181906223##BESILATO DE ANLODIPINO                       10MG CX 20 COMP##37,17 
7891721277450##BESILATO DE ANLODIPINO                       10MG CX 30 COMP##61,32 
7897595604668##BESILATO DE ANLODIPINO                       10MG CX 30 COMP##29,31 
7896422505802##BESILATO DE ANLODIPINO                       10MG CX 30 COMP##69,04 
7896181900443##BESILATO DE ANLODIPINO                       10MG CX 30 COMP##55,06 
7896181906292##BESILATO DE ANLODIPINO                       10MG CX 60 COMP##99,88 
7896422505772##BESILATO DE ANLODIPINO                       5MG CX 20 COMP##24,36 
7896181906162##BESILATO DE ANLODIPINO                       5MG CX 20 COMP##18,57 
7891721277436##BESILATO DE ANLODIPINO                       5MG CX 30 COMP##35,10 
7897595604699##BESILATO DE ANLODIPINO                       5MG CX 30 COMP##15,11 
7896422505789##BESILATO DE ANLODIPINO                       5MG CX 30 COMP##35,07 
7896181900658##BESILATO DE ANLODIPINO                       5MG CX 30 COMP##27,87 
7898910350093##BESILATO DE ANLODIPINO                       5MG CX 30 COMP REV##20,35 
7891721277429##BESILATO DE ANLODIPINO                       5MG CX 60 COMP##66,27 
7896181906209##BESILATO DE ANLODIPINO                       5MG CX 60 COMP##51,45 
7896676413687##BESILATO DE ANLODIPINO                       10MG CX 100 COMP EMB FRAC##138,94 
7898361880729##BESILATO DE ANLODIPINO                       10MG CX 20 COMP##63,47 
7896676411560##BESILATO DE ANLODIPINO                       10MG CX 20 COMP##41,82 
7896676411553##BESILATO DE ANLODIPINO                       10MG CX 30 COMP##59,22 
7897076909428##BESILATO DE ANLODIPINO                       10MG CX 30 COMP##47,20 
7898361880736##BESILATO DE ANLODIPINO                       10MG CX 30 COMP##34,14 
7896523213590##BESILATO DE ANLODIPINO                       10MG CX 30 COMP##15,90 
7899095238473##BESILATO DE ANLODIPINO                       10MG CX 30 COMP##38,77 
7895296221085##BESILATO DE ANLODIPINO                       10MG CX 30 COMP##58,21 
7898361880705##BESILATO DE ANLODIPINO                       5MG CX 20 COMP##34,42 
7896676411591##BESILATO DE ANLODIPINO                       5MG CX 20 COMP##21,84 
7896676411584##BESILATO DE ANLODIPINO                       5MG CX 30 COMP##29,62 
7897076909374##BESILATO DE ANLODIPINO                       5MG CX 30 COMP##23,59 
7898361880712##BESILATO DE ANLODIPINO                       5MG CX 30 COMP##15,93 
7896523213569##BESILATO DE ANLODIPINO                       5MG CX 30 COMP##12,40 
7899095238527##BESILATO DE ANLODIPINO                       5MG CX 30 COMP##18,30 
7895296221030##BESILATO DE ANLODIPINO                       5MG CX 30 COMP##29,51 
7898148301287##BESILATO DE ANLODIPINO                       5MG CX 30 COMP##25,91 
7898487600805##BESILATO DE ATRACURIO                        10MG/ML CX 25 CX 5ML##517,35 
7898487600393##BESILATO DE ATRACURIO                        10MG/ML SOL INJ CX 25 AMP X 2,5ML EMB HOSP##270,57 
7897406111750##BESITRAC                                     25MG CX 5 AMP X 2,5ML##81,16 
7897406111743##BESITRAC                                     50MG CX 5 AMP X 5ML##155,18 
7896046300418##BESIVANCE                                    SUS OFT FR GTS 5ML##25,42 
7897917001298##BESODIN                                      300+30+30MG CX 20 COMP##11,42 
7897917001656##BESODIN                                      300+30+30MG CX 200 COMP##107,77 
7897917001373##BESODIN                                      300+50+30MG/ML SOL OR FRX15ML##8,63 
7896023792182##BETA CAROTENO                                FR 30 COMP##35,41 
7896006221623##BETA LONG                                    3+3MG CX 1AMP X1ML##10,74 
7896006221609##BETA LONG                                    3+3MG/ML SUS INJ 25 AMP X1ML##268,59 
7896083400744##BETABRONZE                                   250MG CX 30 CAP##24,92 
8902220106116##BETACARD PLUS                                100+25MG CX 30 COMP##21,80 
8902220106093##BETACARD PLUS                                50+12,5MG CX 30 COMP##13,50 
7897917001168##BETACORTAZOL                                 20+0,5+2,5MG CREME BG 30##21,90 
7896472515837##BETACORTINE                                  1MG/G CREM DERM BG 30##14,93 
7896472515813##BETACORTINE                                  1MG/G POM DERM BG 30##15,71 
7896658016554##BETADINE                                     16MG CX 30 COMP##12,99 
7896658016561##BETADINE                                     16MG CX 60 COMP##25,20 
7896658016585##BETADINE                                     24MG CX 30 COMP##17,40 
7896658016592##BETADINE                                     24MG CX 60 COMP##33,74 
7896658016530##BETADINE                                     8MG CX 30 COMP##10,76 
7896658016547##BETADINE                                     8MG CX 60 COMP##20,87 
7891106903974##BETAFERON                                    9,6MUI INJ CX 15FA+SER DIL X 1,2ML##4.793,31 
7897316800065##BETAGAN                                      0,5% SOL FR 10ML##31,11 
7897316800058##BETAGAN                                      0,5% SOL FR 5ML##17,93 
7703333007700##BETAGRANULOS                                 CREME FR 60##42,64 
7896181909071##BETALOR                                      5+25MG CX 30 CAP##43,28 
7896181917847##BETALOR                                      5+25MG CX 7##10,09 
7896181909101##BETALOR                                      5+50MG CX 30 CAP##50,93 
7896181917694##BETALOR                                      5+50MG CX 7##11,89 
7898148296101##BETAMETASONA                                 0,1MG ELIXIR FR 120ML+CM##13,33 
7896004711249##BETAMETASONA                                 0,5MG CX 20 COMP##6,05 
7896004719849##BETAMETASONA                                 0,5MG CX 90 COMP##27,31 
7896004716435##BETAMETASONA                                 0,5MG/5ML ELIXIR FR 120ML##11,60 
7896004704616##BETAMETASONA                                 0,5ML ELIXIR FR 120ML##11,47 
7896004711256##BETAMETASONA                                 2MG CX 10 COMP##8,24 
7896004719856##BETAMETASONA                                 2MG CX 90 COMP##74,38 
7896422506854##BETAMETASONA                                 0,1MG ELIXIR FR 120ML+CM##11,60 
7896523209050##BETAMETASONA+SULFATO DE GENTAMICINA          0,5+1,0MG/G CREM DERM BG 30##14,42 
7897299902282##BETANAZOL                                    20+0,5MG CREME DERM BG 30##20,56 
7897299902299##BETANAZOL                                    20+0,5MG POM DERM BG 30##20,56 
7896006248910##BETAPROSPAN                                  5+2MG CX 1AMP X 1ML##16,34 
7896255766449##BETASERC                                     16MG CX 3BL X 10 COMP##21,67 
7896255766401##BETASERC                                     24MG CX 2BL X 15 COMP##32,59 
7896255766425##BETASERC                                     24MG CX 4BL X 15 COMP##55,95 
7893454411217##BETASPAN                                     5+2MG SUS INJ 1 AMP##15,29 
7891317421465##BETATRINTA                                   5+2MG INJ 1AMP X 1ML+SER##11,44 
7891317103323##BETATRINTA                                   5MG+2MG SUS INJ AMP X 1ML+SER##12,01 
7895858000035##BETAZIDIM                                    1G PO INJ CX 1FA+DIL X 10ML##25,32 
7895858002886##BETAZIDIM                                    1G SOL INJ CX 50FA EMB HOSP##1.122,44 
7891317436346##BETES                                        1MG CX 30 COMP##10,99 
7891317436339##BETES                                        2MG CX 30 COMP##19,87 
7891317436322##BETES                                        4MG CX 30 COMP##38,42 
7891317478902##BETINA                                       16MG CX 20 COMP##8,61 
7891317478919##BETINA                                       16MG CX 30 COMP##13,12 
7891317478926##BETINA                                       16MG CX 60 COMP##25,46 
7891317478957##BETINA                                       24MG CX 20 COMP##11,53 
7891317478964##BETINA                                       24MG CX 30 COMP##17,57 
7891317478971##BETINA                                       24MG CX 60 COMP##34,08 
7891317478865##BETINA                                       8MG CX 30 COMP##10,87 
7896269900280##BETNOVATE                                    1MG CAPILAR FR 50##39,18 
7896269900297##BETNOVATE                                    1MG CREME BG 15##14,02 
7896269900303##BETNOVATE                                    1MG CREME BG 30##23,04 
7896269900310##BETNOVATE                                    1MG LOCAO FR 50##41,46 
7896269900365##BETNOVATE                                    1MG POM BG 15##14,72 
7896269900372##BETNOVATE                                    1MG POM BG 30##24,20 
7896269900334##BETNOVATE N                                  1+5MG CREME BG 30##21,08 
7896269900358##BETNOVATE N                                  1+5MG POM BG 30##21,97 
7896269900396##BETNOVATE Q                                  Q 1+30MG CREME BG 30##23,65 
7899095204454##BETOGENTA                                    0,5+1,0MG CREME BG 30##14,38 
7899095204430##BETOGENTA                                    0,5+1,0MG POM BG 30##14,38 
7896548114612##BETOPTIC                                     0,5% SOL OFT FR GTS 5ML##17,36 
7896548114797##BETOPTIC                                     2,5MG SUS OFT GTS FR 5ML##23,17 
7899095203266##BETRICORT                                    CREME BG 30##17,83 
7899095203273##BETRICORT                                    POM BG 30##17,83 
7898060132013##BETRIX                                       20MG/G+0,64MG/G 10##8,60 
7898060132037##BETRIX                                       20+0,64MG CREM DERM BG 30##16,46 
7896004715179##BETROSPAM                                    SUS INJ CX 1AMP X 1ML##10,76 
7896714230078##BETSONA                                      1MG CREME BG 30##15,57 
7896714230085##BETSONA                                      1MG POM BG 30##15,40 
7891317468859##BEUM                                         300MG CX 20 COMP REV##9,74 
7891317468866##BEUM                                         300MG CX 30 COMP REV##14,61 
7899095203075##BEXETON ELIXIR                               1MG/ML FR 120ML##9,13 
7891268108118##BEXTRA                                       40MG IM/IV PO LIOF CX 10 FA##400,83 
7896004710525##BEZAFIBRATO                                  200MG CX 20 COMP##16,88 
7894916140508##BEZAFIBRATO                                  200MG CX 20 COMP VER##16,05 
7896004710518##BEZAFIBRATO                                  200MG CX 20 DR##16,06 
8470001589712##BGSTAR                                       33G X 100 UNID LANCETAS##17,98 
7891058018184##BGSTAR                                       TIRAS TESTE X 50UNID##63,53 
7795320008807##BI-NERISONA                                  CREME BG 15##18,19 
7896070601772##BI-PROFENID                                  150MG CX 10 COMP##32,37 
7891058010355##BI-PROFENID                                  150MG CX 4 COMP##12,94 
7898109240068##BIALERGE                                     CX 20 COMP##5,92 
7898109240051##BIALERGE                                     ELIXIR FR 100ML##6,21 
7898109240075##BIALERGE                                     SOL OR FR 20ML##6,52 
7896004729664##BIALUDEX                                     POM OFT BG 3,5##20,13 
7896004723167##BIALUDEX                                     3,5+1MG SOL OFT FR 4ML##14,22 
7897316801215##BIAMOTIL                                     POM OFT BG 3,5##14,04 
7897316801178##BIAMOTIL                                     SOL OFT FR 5ML##14,70 
7897316801253##BIAMOTIL D                                   POM OFT BG 3,5##24,74 
7897316801239##BIAMOTIL D                                   SOL OFT FR 5ML##22,56 
7896004738208##BIANCORT                                     3,5+1MG/ML SOL OF FR X 5ML##14,66 
7898902274796##BICALUTAMIDA                                 50MG CX 28 COMP REV##445,84 
7891317482541##BICALUTAMIDA                                 50MG CX 30 COMP REV##477,68 
7896023706103##BICARBONATO DE SODIO                         PT 100##6,37 
7891721002052##BICONCOR                                     10+6,25MG FR 30 COMP##62,75 
7891721002038##BICONCOR                                     2,5+6,25MG FR 30 COMP##47,61 
7891721002045##BICONCOR                                     5+6,25MG FR 30 COMP##61,92 
7896004724690##BIMATOPROSTA                                 0,3MG FR 3ML##53,74 
7896004724706##BIMATOPROSTA                                 0,3MG FR 3ML##53,74 
7896004724683##BIMATOPROSTA                                 0,3MG FR 5ML##80,61 
7896004724713##BIMATOPROSTA                                 0,3MG FR 5ML##80,61 
7894916145350##BIMATOPROSTA                                 0,3MG FR X 3 ML##53,74 
7894916145367##BIMATOPROSTA                                 0,3MG FR X 5ML##80,61 
7896422532310##BIMATOPROSTA                                 0,3MG/ML SOL OFT FR GOT X 3ML##53,75 
7895296197014##BIMATOPROSTA                                 0,3MG/ML FR 3ML##53,74 
7895296198011##BIMATOPROSTA                                 0,3MG/ML FR 5ML##80,62 
7897595602831##BINKO                                        120MG CX 20 COMP##53,69 
7897595602824##BINKO                                        80MG CX 20 COMP##33,51 
7897595605610##BINKO                                        80MG CX 30 COMP##41,75 
7897595603500##BINKO                                        80MG CX 60 COMP##66,59 
7893736030068##BINOSPAN                                     COMPOSTO CX 20 DR##11,78 
7891106904056##BINOTAL                                      1000MG CX 14 COMP##48,23 
7891106904063##BINOTAL                                      1000MG CX 21 COMP##72,34 
7891106904032##BINOTAL                                      500MG CX 14 COMP##26,94 
7891106904049##BINOTAL                                      500MG CX 21 COMP##40,41 
7896006200352##BIO C                                        1G  CX 30 COMP ENFERV##24,53 
7896006298267##BIO E                                        400MG CX 20 CAP##15,66 
7896006229957##BIO-C                                        1G CX 10 DRG ENFERV##9,97 
7898109241294##BIO-VAGIN                                    CREME VAG BG 40G+10APLIC##32,01 
7896006210948##BIOARGI                                      1G+1G (CX C/16 COM EFER)##25,63 
7896083409488##BIOCARTAMO                                   1000MG CX 90 CAP##43,20 
7896181924210##BIOEZULEN                                    100MG PO LIOF INJ FA##3.740,73 
7896181924197##BIOEZULEN                                    50MG PO LIOF INJ FA##1.870,38 
7896658000119##BIOFENAC                                     44,94MG SUS OR FR GTS 20ML##10,40 
7896658000072##BIOFENAC                                     50MG CX 20 COMP##14,65 
7896658006913##BIOFENAC                                     11MG SOL C/PROP (AER) FR 60##19,32 
7896658004261##BIOFENAC                                     50MG CX 10 COMP##7,33 
7896658000959##BIOFENAC CLR                                 75MG CX 14 COMP REV##15,89 
7896658004292##BIOFENAC DI                                  46,5MG CX 10 COMP##8,54 
7896658006906##BIOFENAC DI                                  46,5MG CX 20 COMP##17,12 
7896676410372##BIOFLAC                                      15MG CX 10 COMP##26,58 
7896676410389##BIOFLAC                                      15MG CX 5 AMP X 1,5ML##24,65 
7896676410365##BIOFLAC                                      7,5MG CX 10 COMP##14,33 
7896004726045##BIOFLADEX                                    FR 60##20,50 
7896317909241##BIOFLAN 30                                   250MG CX  30 COMP REV##46,88 
7896006291589##BIOFLEX                                      300+50+35MG CX 148 COMP##47,69 
7896006291527##BIOFLEX                                      300+50+35MG CX 16 COMP##4,91 
7896006291602##BIOFLEX                                      300+50+35MG SOL ORAL FR 10ML##4,21 
7896685300633##BIOFLORIN                                    CX 5 FLAC X 5ML ADU##24,10 
7896685300640##BIOFLORIN                                    CX 5 FLAC X 5ML PED##18,45 
7898014560046##BIOFORTONICO                                 SOL ORAL FR 500ML##14,83 
7896006291626##BIOGRIPE                                     100+2+2MG/ML SOL OR FR GTS 20ML##11,05 
7896006291633##BIOGRIPE                                     40+0,6+0,6MG/ML XPE FR100ML##14,53 
